arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
LB,Abilene.gml,500,0,0,0,0.8071051605307158,0.5072807790615733,0.2624942448070117,0.5990909090909091
LB,Abilene.gml,500,0,0,1,0.8333517284880394,0.5925392117359066,0.26232200573489506,0.6672727272727271
LB,Abilene.gml,500,0,0,2,0.8323675384821067,0.5883410177584618,0.2621760160872592,0.6636363636363636
LB,Abilene.gml,500,0,0,3,0.8324754549704964,0.5912480942243018,0.2620562586401967,0.6672727272727274
LB,Abilene.gml,500,0,0,4,0.8324257553044945,0.5931069914481126,0.26196271879474303,0.6681818181818182
LB,Abilene.gml,500,0,0,5,0.8324011407938083,0.5951304339818598,0.2618953845751534,0.67
LB,Abilene.gml,500,0,0,6,0.8323708449031482,0.5971176027606616,0.2618542466274431,0.6718181818181818
LB,Abilene.gml,500,0,0,7,0.8323403914679782,0.5991027503674912,0.26183929821819035,0.6736363636363636
LB,Abilene.gml,500,0,0,8,0.8323087374733109,0.6010794215036502,0.2618505352336004,0.6745454545454544
LB,Abilene.gml,500,0,0,9,0.8322759306887957,0.6030483759226187,0.26188795617883226,0.6763636363636363
LB,Abilene.gml,500,0,0,10,0.8322417089401468,0.6050090826188846,0.26195156217758747,0.6790909090909092
LB,Abilene.gml,500,0,0,11,0.8322057141646089,0.6069612485276592,0.26204135697196057,0.68
LB,Abilene.gml,500,0,0,12,0.832167377220259,0.6089045420625837,0.2621573469225514,0.6836363636363636
LB,Abilene.gml,500,0,0,13,0.832125793548811,0.6108386437427925,0.2622995410088394,0.6854545454545454
LB,Abilene.gml,500,0,0,14,0.8320794556152034,0.6127632372792415,0.2624679508298198,0.6863636363636364
LB,Abilene.gml,500,0,0,15,0.8320256696032368,0.6146780115295938,0.262662590604901,0.6872727272727273
LB,Abilene.gml,500,0,0,16,0.8319591023742291,0.6165826604642671,0.26288347717506516,0.6909090909090909
LB,Abilene.gml,500,0,0,17,0.8318674311612558,0.6184768834949724,0.26313063000428977,0.6927272727272727
LB,Abilene.gml,500,0,0,18,0.8317138827795968,0.6203603857350584,0.26340407118123194,0.6927272727272727
LB,Abilene.gml,500,0,0,19,0.8313127347506324,0.6222328782702486,0.26370382542117454,0.6927272727272727
LB,Abilene.gml,500,0,0,20,0.818175148283676,0.6240940784251081,0.2640299200682353,0.6909090909090909
LB,Abilene.gml,500,0,0,21,0.8085645858624969,0.6259166287164816,0.2643823850978381,0.6890909090909091
LB,Abilene.gml,500,0,0,22,0.808155827579547,0.6274563542854973,0.26476125311944776,0.6927272727272727
LB,Abilene.gml,500,0,0,23,0.8078677722322186,0.628982505693264,0.2651665593795673,0.6936363636363636
LB,Abilene.gml,500,0,0,24,0.7943745303288786,0.6304948606588643,0.2655983417649986,0.6890909090909091
LB,Abilene.gml,500,0,0,25,0.7835211791559938,0.6319344478179395,0.266056640806368,0.6854545454545454
LB,Abilene.gml,500,0,0,26,0.7833335225208432,0.6324446486073421,0.26654149968191376,0.6881818181818181
LB,Abilene.gml,500,0,0,27,0.7832426694293404,0.6329187018641594,0.26705296422154023,0.689090909090909
LB,Abilene.gml,500,0,0,28,0.78317622592634,0.6333833888581608,0.267591082911135,0.6881818181818181
LB,Abilene.gml,500,0,0,29,0.7831172098454597,0.6338377626183666,0.26815590689715174,0.6881818181818181
LB,Abilene.gml,500,0,0,30,0.7830568277179867,0.6342817696126409,0.26874748999145975,0.69
LB,Abilene.gml,500,0,0,31,0.7829849071618966,0.6347151934943063,0.2693658886764574,0.69
LB,Abilene.gml,500,0,0,32,0.7829518737023203,0.6367681997089633,0.26958633670021964,0.6927272727272726
LB,Abilene.gml,500,0,0,33,0.7829312610683338,0.6388834053053318,0.2698337213128496,0.6936363636363635
LB,Abilene.gml,500,0,0,34,0.7829057890980148,0.6409677283672601,0.27010806455914954,0.6963636363636364
LB,Abilene.gml,500,0,0,35,0.7827849007794362,0.64146685727844,0.27080177483287665,0.6963636363636364
LB,Abilene.gml,500,0,0,36,0.7823736229650955,0.6418711941688808,0.2715224959130597,0.6981818181818181
LB,Abilene.gml,500,0,0,37,0.7821343703865544,0.6438687523938703,0.27185641058921206,0.6981818181818181
LB,Abilene.gml,500,0,0,38,0.7817831194296861,0.6459266879584391,0.2722174775149557,0.6981818181818181
LB,Abilene.gml,500,0,0,39,0.7809045942981044,0.6479531753215977,0.27260573008175815,0.7009090909090908
LB,Abilene.gml,500,0,0,40,0.756741491462874,0.6482184298713899,0.2734027798811361,0.6936363636363637
LB,Abilene.gml,500,0,0,41,0.7556915435578356,0.6497674311435092,0.2737987440954125,0.6954545454545454
LB,Abilene.gml,500,0,0,42,0.7651475296164437,0.6513232649415802,0.274222048587677,0.6981818181818181
LB,Abilene.gml,500,0,0,43,0.7654357536332008,0.6524587488731854,0.274695926442283,0.6981818181818181
LB,Abilene.gml,500,0,0,44,0.7654759412408064,0.6535683145226628,0.2751972265017477,0.7009090909090909
LB,Abilene.gml,500,0,0,45,0.7653999580878839,0.6545663190115291,0.27572599615385673,0.7009090909090909
LB,Abilene.gml,500,0,0,46,0.7649910649990388,0.6554890601645297,0.27628228552861583,0.7018181818181818
LB,Abilene.gml,500,0,0,47,0.7452618052613644,0.6571703555047472,0.2763198775191814,0.6972727272727272
LB,Abilene.gml,500,0,0,48,0.744598626793038,0.6584179482490989,0.27687048894308997,0.6963636363636363
LB,Abilene.gml,500,0,0,49,0.7444625693859444,0.6596259084389833,0.2774487323547504,0.6963636363636363
LB,Abilene.gml,500,0,1,0,0.8248414002554477,0.5705179254865673,0.2634224961539679,0.6472727272727273
LB,Abilene.gml,500,0,1,1,0.8327441793967061,0.5864842627265059,0.2632470326202505,0.6609090909090909
