arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
OSPF,Abilene.gml,500,0,0,0,0.8845993703646466,0.6767203230361821,0.2624942448070117,0.7372727272727274
OSPF,Abilene.gml,500,0,0,1,0.8843661522456645,0.6791701925791057,0.26232200573489506,0.740909090909091
OSPF,Abilene.gml,500,0,0,2,0.8842862588241261,0.6816315745774083,0.2621760160872592,0.7445454545454545
OSPF,Abilene.gml,500,0,0,3,0.8842289707976029,0.6841044925217038,0.2620562586401967,0.7454545454545454
OSPF,Abilene.gml,500,0,0,4,0.884153423608836,0.6864183302379104,0.26196271879474303,0.7481818181818182
OSPF,Abilene.gml,500,0,0,5,0.8839273236563785,0.6884942968959441,0.2618953845751534,0.75
OSPF,Abilene.gml,500,0,0,6,0.8606044952412725,0.6905765872041851,0.2618542466274431,0.7445454545454545
OSPF,Abilene.gml,500,0,0,7,0.8600318974213931,0.6932411561579872,0.2616785481876508,0.7454545454545454
OSPF,Abilene.gml,500,0,0,8,0.859843648443859,0.6959156996521014,0.2615290351725213,0.75
OSPF,Abilene.gml,500,0,0,9,0.8597506465421735,0.6986001158863334,0.2614056900122105,0.7518181818181818
OSPF,Abilene.gml,500,0,0,10,0.8596964396562928,0.7012943049657813,0.26130849775541704,0.7536363636363635
OSPF,Abilene.gml,500,0,0,11,0.8596627633488417,0.7039981690859357,0.2612374460676247,0.7572727272727273
OSPF,Abilene.gml,500,0,0,12,0.8596426748113892,0.7067116127198465,0.26119252522960795,0.759090909090909
OSPF,Abilene.gml,500,0,0,13,0.8596347082907246,0.7094345428071663,0.26117372813619794,0.759090909090909
OSPF,Abilene.gml,500,0,0,14,0.8596440203832423,0.7121668689448827,0.26118105029531097,0.7645454545454544
OSPF,Abilene.gml,500,0,0,15,0.8597026243163177,0.7149085035795294,0.2612144898272376,0.7654545454545455
OSPF,Abilene.gml,500,0,0,16,0.8607737479004864,0.7176593622006718,0.2612740474641937,0.77
OSPF,Abilene.gml,500,0,0,17,0.875444912777959,0.7201313602103857,0.2612709383182757,0.7772727272727273
OSPF,Abilene.gml,500,0,0,18,0.8757996616710109,0.7226028110422772,0.261293956577104,0.7781818181818182
OSPF,Abilene.gml,500,0,0,19,0.875883343496247,0.7250734553351108,0.2613431019297643,0.7790909090909092
OSPF,Abilene.gml,500,0,0,20,0.8759178576417125,0.7275430366651644,0.2614183766780822,0.7818181818181817
OSPF,Abilene.gml,500,0,0,21,0.8759350085408062,0.730011301839091,0.2615197857365931,0.7845454545454547
OSPF,Abilene.gml,500,0,0,22,0.875944102449537,0.7324780011901829,0.26164733663277184,0.7872727272727272
OSPF,Abilene.gml,500,0,0,23,0.8759488163708802,0.734942888877718,0.2618010395075242,0.7899999999999999
OSPF,Abilene.gml,500,0,0,24,0.8759508707261084,0.7374057231890501,0.2619809071159398,0.7899999999999999
OSPF,Abilene.gml,500,0,0,25,0.8759511585221894,0.7398662668440898,0.26218695482830623,0.7954545454545454
OSPF,Abilene.gml,500,0,0,26,0.8759501720141777,0.7423242873018036,0.26241920063138424,0.7972727272727272
OSPF,Abilene.gml,500,0,0,27,0.8759481875323012,0.744779557068346,0.26267766512994506,0.7972727272727272
OSPF,Abilene.gml,500,0,0,28,0.8759453531515146,0.7472318540064286,0.26296237154856905,0.7990909090909092
OSPF,Abilene.gml,500,0,0,29,0.8759470717814104,0.7501593816595964,0.2632596817997764,0.8027272727272727
OSPF,Abilene.gml,500,0,0,30,0.8759423602889508,0.7526221320164328,0.2635884315216348,0.8045454545454546
OSPF,Abilene.gml,500,0,0,31,0.8759408473944224,0.7555723484524076,0.2639298446441369,0.8081818181818182
OSPF,Abilene.gml,500,0,0,32,0.8759376627716654,0.7585315336502667,0.2642976166097912,0.8109090909090909
OSPF,Abilene.gml,500,0,0,33,0.8759302287139911,0.7610180043288401,0.264688405796976,0.8118181818181818
