arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
RR,Abilene.gml,500,0,0,0,0.8845993703646466,0.6767203230361821,0.2624942448070117,0.7372727272727274
RR,Abilene.gml,500,0,0,1,0.7767685766260155,0.49387542507664395,0.26232200573489506,0.5818181818181819
RR,Abilene.gml,500,0,0,2,0.7271973932894247,0.22868844292605475,0.26224004833393844,0.38000000000000006
RR,Abilene.gml,500,0,0,3,0.8990339692714165,0.6804371863259291,0.26217180018081915,0.7472727272727273
RR,Abilene.gml,500,0,0,4,0.7767602118750634,0.4947210386987221,0.2620400776988057,0.5854545454545454
RR,Abilene.gml,500,0,0,5,0.7271473769074276,0.22871246849701343,0.26200874701523247,0.38000000000000006
RR,Abilene.gml,500,0,0,6,0.8792680909568484,0.6832914931424378,0.26199122385599266,0.740909090909091
RR,Abilene.gml,500,0,0,7,0.7767487836120094,0.4955895711293401,0.26190010320822577,0.5854545454545456
RR,Abilene.gml,500,0,0,8,0.7190660908520728,0.22872070809603198,0.2619195030458388,0.37999999999999995
RR,Abilene.gml,500,0,0,9,0.8759270086280272,0.6859243232465458,0.26195282160242245,0.7445454545454545
RR,Abilene.gml,500,0,0,10,0.7767315132296786,0.49648094931257475,0.26190242676944436,0.5927272727272727
RR,Abilene.gml,500,0,0,11,0.7187622366544401,0.22871294182469662,0.26197270071208084,0.3781818181818182
RR,Abilene.gml,500,0,0,12,0.8759307658990862,0.688610664845489,0.26205701753381533,0.7472727272727273
RR,Abilene.gml,500,0,0,13,0.7765667911411477,0.49905495202791494,0.261855603477902,0.5927272727272727
RR,Abilene.gml,500,0,0,14,0.6951005014496469,0.22856149149595212,0.2619663516750849,0.3709090909090909
RR,Abilene.gml,500,0,0,15,0.8759461301659006,0.6914049466788664,0.26209983837133627,0.7472727272727273
RR,Abilene.gml,500,0,0,16,0.760768324246778,0.5016830711826221,0.26192690656030304,0.5909090909090909
RR,Abilene.gml,500,0,0,17,0.6944138115757479,0.22838181667639834,0.2620781021584049,0.3718181818181818
RR,Abilene.gml,500,0,0,18,0.8759604886513631,0.6941713704628424,0.2622607407337504,0.7518181818181818
RR,Abilene.gml,500,0,0,19,0.7604405847096153,0.5042471041895276,0.26211625793606835,0.5945454545454546
RR,Abilene.gml,500,0,0,20,0.6943420078976815,0.22825680858050298,0.26230790570661466,0.3718181818181818
RR,Abilene.gml,500,0,0,21,0.8759802007577641,0.6951808465222367,0.262539710653337,0.7527272727272727
RR,Abilene.gml,500,0,0,22,0.7603972993441446,0.5066967088194836,0.26242367405786726,0.5963636363636362
RR,Abilene.gml,500,0,0,23,0.6943191793511753,0.22811036282551528,0.26265581038186653,0.3718181818181818
RR,Abilene.gml,500,0,0,24,0.876025195340523,0.6958589489466767,0.26293682867326695,0.7536363636363635
RR,Abilene.gml,500,0,0,25,0.7603876279796069,0.509194065950018,0.2628492658897348,0.5981818181818181
RR,Abilene.gml,500,0,0,26,0.6943139548177368,0.2279386865342641,0.26312195876998384,0.3718181818181818
RR,Abilene.gml,500,0,0,27,0.8763707028234073,0.6965380065102352,0.2634522698817572,0.7545454545454546
RR,Abilene.gml,500,0,0,28,0.7603939915667511,0.5118804923006329,0.2633932389690818,0.6027272727272728
RR,Abilene.gml,500,0,0,29,0.6943212641141483,0.22774133850006875,0.2637065880704497,0.37000000000000005
RR,Abilene.gml,500,0,0,30,0.8919804660312206,0.6978349710450176,0.26376374707689093,0.7609090909090909
RR,Abilene.gml,500,0,0,31,0.7604401225356164,0.5158097003332057,0.2637365621689219,0.6045454545454546
RR,Abilene.gml,500,0,0,32,0.6943463923168507,0.22755601577497966,0.264080891229877,0.37000000000000005
RR,Abilene.gml,500,0,0,33,0.8922727010864634,0.698714502161362,0.2641810176539204,0.7599999999999999
RR,Abilene.gml,500,0,0,34,0.760703239403279,0.5197815130845911,0.26418592954623904,0.6099999999999999
RR,Abilene.gml,500,0,0,35,0.6944104820308308,0.22793830038970161,0.26445935848602103,0.37000000000000005
RR,Abilene.gml,500,0,0,36,0.892320244858876,0.6993538593015992,0.2645917252552415,0.7609090909090909
RR,Abilene.gml,500,0,0,37,0.7846261856365415,0.5235624179848585,0.2646400252189671,0.6172727272727272
RR,Abilene.gml,500,0,0,38,0.6951264395188821,0.22823884779763162,0.2649450636852377,0.3718181818181818
RR,Abilene.gml,500,0,0,39,0.8922912089276014,0.6997812176659644,0.2651099774575156,0.7627272727272726
RR,Abilene.gml,500,0,0,40,0.7849365285621267,0.5270146262041959,0.2652019684937334,0.6218181818181818
RR,Abilene.gml,500,0,0,41,0.7107821360949612,0.22845800786139978,0.2655389568085929,0.37545454545454543
