arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A0,Abilene.gml,500,1,0,0,0.7518459959199507,0.2793434618386956,0.2624942448070117,0.42363636363636364
A0,Abilene.gml,500,1,0,1,0.8014825653168584,0.4173848428117163,0.2624015405585372,0.5390909090909092
A0,Abilene.gml,500,1,0,2,0.7768744560609936,0.38925479167165355,0.2623293625199018,0.5127272727272728
A0,Abilene.gml,500,1,0,3,0.7851480749292226,0.36094663444076197,0.2622876202952772,0.4954545454545455
A0,Abilene.gml,500,1,0,4,0.7851540046624592,0.3617133401481732,0.26222186908161116,0.4954545454545455
A0,Abilene.gml,500,1,0,5,0.7851615711599836,0.3624565099882739,0.2621823466299746,0.49636363636363634
A0,Abilene.gml,500,1,0,6,0.7851708819792278,0.36317575632042803,0.2621690463652463,0.49636363636363634
A0,Abilene.gml,500,1,0,7,0.785182181897797,0.36387069759354806,0.2621819643351809,0.4990909090909092
A0,Abilene.gml,500,1,0,8,0.7851707703227152,0.36381866948397773,0.2623089413055631,0.5000000000000001
A0,Abilene.gml,500,1,0,9,0.7851598097481123,0.3637377087619466,0.2624621364723788,0.5000000000000001
A0,Abilene.gml,500,1,0,10,0.7851491135916292,0.36347861260530484,0.2626415625333251,0.5000000000000001
A0,Abilene.gml,500,1,0,11,0.7851384409344214,0.3631116831858328,0.26284723480791866,0.5000000000000001
A0,Abilene.gml,500,1,0,12,0.7851274641603955,0.3627188061013594,0.2630791712387655,0.5000000000000001
A0,Abilene.gml,500,1,0,13,0.7851157040687177,0.3623002729253757,0.2633373923930932,0.500909090909091
A0,Abilene.gml,500,1,0,14,0.7851023944635602,0.3618563833597925,0.2636219214645447,0.5018181818181818
A0,Abilene.gml,500,1,0,15,0.793360624267658,0.2970053828618818,0.263750953089573,0.4481818181818182
A0,Abilene.gml,500,1,0,16,0.7934751979660883,0.3733490596833112,0.26368496767891475,0.5118181818181818
A0,Abilene.gml,500,1,0,17,0.8017698127257117,0.3436612729389805,0.26384820931652675,0.4954545454545455
A0,Abilene.gml,500,1,0,18,0.7768191629847593,0.24671603095105035,0.26405421642133786,0.41090909090909095
A0,Abilene.gml,500,1,0,19,0.7939835037522568,0.3728974269873946,0.2642071156584974,0.5127272727272728
A0,Abilene.gml,500,1,0,20,0.7768117094846212,0.24595771676251355,0.2643621596599647,0.41090909090909095
A0,Abilene.gml,500,1,0,21,0.8092807321084976,0.37156117301424435,0.26454722590674656,0.5172727272727272
A0,Abilene.gml,500,1,0,22,0.7768032217789957,0.2451173555473103,0.2647344701382257,0.4100000000000001
A0,Abilene.gml,500,1,0,23,0.8096661544252953,0.3701398795595478,0.26495177026589084,0.5163636363636364
A0,Abilene.gml,500,1,0,24,0.7767910106964419,0.2445466687125773,0.2652074996990894,0.4100000000000001
A0,Abilene.gml,500,1,0,25,0.8097561668333886,0.3690804757103195,0.265457475575467,0.5154545454545455
A0,Abilene.gml,500,1,0,26,0.7933316718949791,0.2906691425164669,0.2657459268647483,0.4436363636363636
A0,Abilene.gml,500,1,0,27,0.8097847946781424,0.36843631657251114,0.26580803081620574,0.5136363636363637
A0,Abilene.gml,500,1,0,28,0.7933252106823182,0.28959026247502756,0.26605845551151297,0.4436363636363636
A0,Abilene.gml,500,1,0,29,0.8097816599529041,0.367322519806329,0.2661434814956346,0.5136363636363637
A0,Abilene.gml,500,1,0,30,0.7933174413748992,0.2884576503607723,0.2664168433018555,0.4436363636363636
A0,Abilene.gml,500,1,0,31,0.8346088141800908,0.4577611104261767,0.26652485913991025,0.5827272727272728
A0,Abilene.gml,500,1,0,32,0.7771514562404295,0.300849846105386,0.26667391869464846,0.4509090909090909
A0,Abilene.gml,500,1,0,33,0.8346003485182455,0.4563003890609012,0.26670961082136035,0.5818181818181819
A0,Abilene.gml,500,1,0,34,0.7620519775736517,0.3513859057323006,0.2668921213133079,0.47909090909090907
A0,Abilene.gml,500,1,0,35,0.8016070039068911,0.45552182381329265,0.267033086174583,0.5727272727272726
A0,Abilene.gml,500,1,0,36,0.775821508540325,0.35038626526666905,0.2672569500236458,0.4845454545454546
A0,Abilene.gml,500,1,0,37,0.8016043244496704,0.4546362145589066,0.26743930741123073,0.5727272727272726
A0,Abilene.gml,500,1,0,38,0.7726763429274289,0.34928847076934005,0.2677045946484969,0.48363636363636364
A0,Abilene.gml,500,1,0,39,0.7768390207317805,0.46473360230733385,0.26792842286738583,0.5736363636363635
A0,Abilene.gml,500,1,0,40,0.727263040030687,0.25704646805519515,0.268235220080003,0.4090909090909091
A0,Abilene.gml,500,1,0,41,0.8490512885553141,0.4949742351483408,0.26863459614948343,0.6118181818181818
A0,Abilene.gml,500,1,0,42,0.7765485523650746,0.2510518903260099,0.268872419482347,0.4190909090909091
A0,Abilene.gml,500,1,0,43,0.8342284263101849,0.4503984609302416,0.2692953687134223,0.5809090909090909
A0,Abilene.gml,500,1,0,44,0.7598767735722572,0.34438838434826013,0.26965697920697246,0.47818181818181815
A0,Abilene.gml,500,1,0,45,0.7768083221641675,0.4592234967786208,0.2699773367471143,0.57
A0,Abilene.gml,500,1,0,46,0.7600071355919366,0.3429621100228834,0.2703808416615659,0.47818181818181815
A0,Abilene.gml,500,1,0,47,0.7767969130224824,0.4574955151240923,0.2707431686376616,0.5690909090909091
A0,Abilene.gml,500,1,0,48,0.7683780585255566,0.3414467099420689,0.27118870975614484,0.4809090909090909
A0,Abilene.gml,500,1,0,49,0.7767813276533857,0.45567067465865674,0.27159315633702835,0.5690909090909091
A0,Abilene.gml,500,1,1,0,0.7519044946317318,0.2771356740617625,0.2634224961539679,0.42181818181818187
A0,Abilene.gml,500,1,1,1,0.8014718059515809,0.41332577962893813,0.2633368555248297,0.5372727272727272
A0,Abilene.gml,500,1,1,2,0.7768715349291095,0.38595452027893634,0.2632729170582944,0.5109090909090909
A0,Abilene.gml,500,1,1,3,0.7851437065719239,0.35905716416554806,0.26321792961437096,0.4936363636363637
A0,Abilene.gml,500,1,1,4,0.7851484670164317,0.35980782886878165,0.26315260107600075,0.4936363636363637
A0,Abilene.gml,500,1,1,5,0.785154694480434,0.3605350476754874,0.26311359433059206,0.49454545454545457
A0,Abilene.gml,500,1,1,6,0.7851624108471874,0.36123844051438003,0.263100902845291,0.4954545454545455
A0,Abilene.gml,500,1,1,7,0.7851717567266192,0.36186265058914724,0.2631145227194229,0.4954545454545455
A0,Abilene.gml,500,1,1,8,0.7851829871580095,0.36213951712278847,0.26315445268383947,0.4972727272727274
A0,Abilene.gml,500,1,1,9,0.7851713218650073,0.3618341163009897,0.26329618698926754,0.4981818181818183
A0,Abilene.gml,500,1,1,10,0.7851603555309428,0.3615023080860492,0.263464236739964,0.4990909090909092
A0,Abilene.gml,500,1,1,11,0.7851499339145278,0.3611443624495865,0.2636586161093594,0.5000000000000001
A0,Abilene.gml,500,1,1,12,0.7851398914694889,0.36076055810441926,0.26387934190242884,0.4990909090909092
A0,Abilene.gml,500,1,1,13,0.8342536498866034,0.3965907659522967,0.2640113512307201,0.5354545454545454
A0,Abilene.gml,500,1,1,14,0.8017400682440595,0.34279815215272547,0.26412112096170626,0.49363636363636354
A0,Abilene.gml,500,1,1,15,0.7768181459301505,0.24679754471249932,0.26429754757625373,0.4100000000000001
A0,Abilene.gml,500,1,1,16,0.8017829305176871,0.3424004912364725,0.2644174084408426,0.49363636363636354
A0,Abilene.gml,500,1,1,17,0.7768007542737703,0.24642120845477392,0.26463510399178375,0.4100000000000001
A0,Abilene.gml,500,1,1,18,0.807857047352294,0.34194192270858953,0.26479627171930054,0.4954545454545455
A0,Abilene.gml,500,1,1,19,0.7767686321905001,0.24597896434202635,0.265055300748318,0.4100000000000001
A0,Abilene.gml,500,1,1,20,0.818038252904174,0.34142282250713174,0.2652578481371953,0.4990909090909091
A0,Abilene.gml,500,1,1,21,0.7933401878098308,0.2947698658321692,0.26555829170746975,0.44727272727272727
A0,Abilene.gml,500,1,1,22,0.8180716859678152,0.34068797774044024,0.2657033700636668,0.4990909090909091
A0,Abilene.gml,500,1,1,23,0.7933321027418874,0.29345974070878716,0.26603691310211813,0.44727272727272727
A0,Abilene.gml,500,1,1,24,0.8097897069782185,0.367868124207099,0.26621515366778464,0.5118181818181817
A0,Abilene.gml,500,1,1,25,0.7933276107849475,0.29162874887470874,0.26635844607946046,0.44727272727272727
A0,Abilene.gml,500,1,1,26,0.809783921044814,0.36626184006288864,0.2665696866747476,0.5118181818181817
A0,Abilene.gml,500,1,1,27,0.7933218083645751,0.2897428867385377,0.26674601742452636,0.44272727272727275
A0,Abilene.gml,500,1,1,28,0.8097747501735036,0.364595124920284,0.26699032767855035,0.5109090909090909
A0,Abilene.gml,500,1,1,29,0.7933140354587728,0.28780299422292377,0.2671997729987694,0.44181818181818183
A0,Abilene.gml,500,1,1,30,0.8346008463340222,0.455687289720559,0.26747723575508053,0.5809090909090909
A0,Abilene.gml,500,1,1,31,0.793305663542822,0.28667422489426764,0.26758233302384976,0.44181818181818183
A0,Abilene.gml,500,1,1,32,0.8345925725120238,0.45453819366397696,0.2678829063854328,0.5809090909090909
A0,Abilene.gml,500,1,1,33,0.7851621315070776,0.3757622452366686,0.26801117242402295,0.5009090909090909
A0,Abilene.gml,500,1,1,34,0.8016014393234054,0.45435898070961417,0.2679175918845193,0.57
A0,Abilene.gml,500,1,1,35,0.7687235868589888,0.3450827873674874,0.2680895421285713,0.4772727272727273
A0,Abilene.gml,500,1,1,36,0.801606214065152,0.45419285172993573,0.26831588853426674,0.5718181818181818
A0,Abilene.gml,500,1,1,37,0.7688543496008297,0.3449248692738424,0.26852877313574425,0.48000000000000004
A0,Abilene.gml,500,1,1,38,0.8016076125708075,0.4539091285325426,0.26879609096808993,0.5718181818181818
A0,Abilene.gml,500,1,1,39,0.7697092440475134,0.34465353920518016,0.26904999494639414,0.48000000000000004
A0,Abilene.gml,500,1,1,40,0.8016058347702668,0.45350705690937604,0.26935837741564583,0.5718181818181818
A0,Abilene.gml,500,1,1,41,0.7843756743835001,0.34426840834115885,0.2696534021797103,0.48363636363636364
A0,Abilene.gml,500,1,1,42,0.7769017705983635,0.42867970471968614,0.26988186976150935,0.5490909090909091
A0,Abilene.gml,500,1,1,43,0.7931276495200255,0.2915622455661192,0.2701070584233956,0.4481818181818182
A0,Abilene.gml,500,1,1,44,0.8345374909931619,0.4514134234779201,0.2702245597546113,0.5818181818181819
A0,Abilene.gml,500,1,1,45,0.7846888797089029,0.3420609627729409,0.27058929509299917,0.4827272727272728
A0,Abilene.gml,500,1,1,46,0.7768972723529305,0.42701678963542117,0.2709832814080425,0.5490909090909091
A0,Abilene.gml,500,1,1,47,0.8178291718728964,0.3418533356051705,0.2712634529372307,0.4954545454545455
A0,Abilene.gml,500,1,1,48,0.8015158977811893,0.45065273352333546,0.27169219014256596,0.5718181818181818
A0,Abilene.gml,500,1,1,49,0.8178700085396717,0.3411069150066295,0.2721334202327664,0.4954545454545455
A0,Abilene.gml,500,1,2,0,0.7769358850755577,0.38858796502031173,0.2631480309651968,0.5127272727272728
A0,Abilene.gml,500,1,2,1,0.8096893623941955,0.38087667867974756,0.26306370073698593,0.5154545454545455
A0,Abilene.gml,500,1,2,2,0.7769746464658204,0.38853487511809137,0.2629776596612883,0.5127272727272728
A0,Abilene.gml,500,1,2,3,0.8097670695052043,0.38140244694196124,0.2629260439786202,0.5172727272727274
A0,Abilene.gml,500,1,2,4,0.7769903165337676,0.38769764139042856,0.26287434407289356,0.5118181818181818
A0,Abilene.gml,500,1,2,5,0.8097892756727297,0.3812836034451273,0.26286617194238926,0.5163636363636365
A0,Abilene.gml,500,1,2,6,0.777102289261017,0.3875199127000395,0.26283475123485794,0.5118181818181818
A0,Abilene.gml,500,1,2,7,0.7854420851862557,0.36117527429700813,0.2628592480297185,0.4972727272727273
A0,Abilene.gml,500,1,2,8,0.809799701363164,0.38237965497616816,0.26283860263829784,0.5181818181818183
