arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A0,Abilene.gml,500,2,0,0,0.7767524817261969,0.4928371334669754,0.2624942448070117,0.5809090909090909
A0,Abilene.gml,500,2,0,1,0.7767426800371311,0.4920457913156085,0.26240520023406777,0.5818181818181819
A0,Abilene.gml,500,2,0,2,0.7767300230902738,0.4912684338876574,0.26234240508560464,0.5818181818181819
A0,Abilene.gml,500,2,0,3,0.7767130707664872,0.4905050378787207,0.26230585045716476,0.5818181818181819
A0,Abilene.gml,500,2,0,4,0.776689231465419,0.4897555867988192,0.26229553006923345,0.5818181818181819
A0,Abilene.gml,500,2,0,5,0.7766533003968473,0.4890200708815847,0.262311440266348,0.5809090909090909
A0,Abilene.gml,500,2,0,6,0.7765930541363424,0.4882984869913702,0.26235358001646936,0.5809090909090909
A0,Abilene.gml,500,2,0,7,0.7764713705163822,0.4875908385284849,0.2624219509106173,0.5827272727272728
A0,Abilene.gml,500,2,0,8,0.7760958669146345,0.4868971353327527,0.262516557162767,0.5827272727272728
A0,Abilene.gml,500,2,0,9,0.7667235339070863,0.48621739358558747,0.26263740561000776,0.5790909090909091
A0,Abilene.gml,500,2,0,10,0.7609173483022276,0.4855516357107846,0.2627845057129647,0.5781818181818182
A0,Abilene.gml,500,2,0,11,0.7606186924980847,0.4847943967482715,0.2629578695564827,0.5781818181818182
A0,Abilene.gml,500,2,0,12,0.7605155455899187,0.4839893648190554,0.263157511850572,0.5763636363636363
A0,Abilene.gml,500,2,0,13,0.7604631550384423,0.48319410332003154,0.26338344993161694,0.5772727272727273
A0,Abilene.gml,500,2,0,14,0.7604313291512319,0.48240859351702264,0.26363570376384693,0.5763636363636363
A0,Abilene.gml,500,2,0,15,0.760409804019682,0.48163282246281974,0.26391429594107013,0.5754545454545454
A0,Abilene.gml,500,2,0,16,0.7603941120049057,0.4808667828940321,0.26421925168866967,0.5754545454545454
A0,Abilene.gml,500,2,0,17,0.7603819734592043,0.4802658208448279,0.2645505988658633,0.5754545454545454
A0,Abilene.gml,500,2,0,18,0.7603720665834046,0.47973031078237566,0.26490836796822587,0.5763636363636363
A0,Abilene.gml,500,2,0,19,0.7603635232780722,0.47921206543840705,0.2652925921304749,0.5763636363636363
A0,Abilene.gml,500,2,0,20,0.760355666697934,0.4787110782495072,0.2657033071295209,0.5763636363636363
A0,Abilene.gml,500,2,0,21,0.760347815276652,0.4782273465939497,0.2661405513877798,0.5763636363636363
A0,Abilene.gml,500,2,0,22,0.7603390108939503,0.4777608717896031,0.2666043659767518,0.5763636363636364
A0,Abilene.gml,500,2,0,23,0.7603359015715339,0.47784201555602956,0.2667082865557833,0.5772727272727273
A0,Abilene.gml,500,2,0,24,0.7603316816628218,0.477420509347462,0.2669826147025701,0.5781818181818182
A0,Abilene.gml,500,2,0,25,0.7603244812892044,0.4769819717866419,0.26728361367801257,0.5772727272727273
A0,Abilene.gml,500,2,0,26,0.7603113551125339,0.47652614087188444,0.2676113109149252,0.5772727272727273
A0,Abilene.gml,500,2,0,27,0.7602833125219243,0.4760527607872407,0.2679657365132057,0.5772727272727273
A0,Abilene.gml,500,2,0,28,0.760192705115056,0.47556158217846906,0.2683469232425777,0.5763636363636364
A0,Abilene.gml,500,2,0,29,0.7540964334807552,0.4750523624350293,0.2687549065456009,0.5736363636363637
