arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A1,Abilene.gml,500,0,0,0,0.7603326251312421,0.4528365801974848,0.259192510748189,0.5454545454545454
A1,Abilene.gml,500,0,0,1,0.8016750015985682,0.5234955638018861,0.25896527358309673,0.6118181818181818
A1,Abilene.gml,500,0,0,2,0.7933658985896946,0.5716090669729366,0.2589410083436512,0.6436363636363637
A1,Abilene.gml,500,0,0,3,0.7934012543888452,0.4820070094485134,0.2588169605663127,0.5836363636363636
A1,Abilene.gml,500,0,0,4,0.7852977071323923,0.5572897375935323,0.2588253354991851,0.6336363636363636
A1,Abilene.gml,500,0,0,5,0.826342549240321,0.4805127669781555,0.258859592128114,0.5881818181818181
A1,Abilene.gml,500,0,0,6,0.826515031251531,0.47755470806782174,0.2587154109348148,0.5854545454545454
A1,Abilene.gml,500,0,0,7,0.8099527902011817,0.5027614732694158,0.2586400974978252,0.6027272727272728
A1,Abilene.gml,500,0,0,8,0.8015772257317384,0.5215720193464423,0.258723712993045,0.6081818181818183
A1,Abilene.gml,500,0,0,9,0.8181415263539783,0.5076417019983753,0.2586719641858907,0.6045454545454546
A1,Abilene.gml,500,0,0,10,0.8099518047268787,0.5089523840698473,0.25858810580645036,0.6054545454545455
A1,Abilene.gml,500,0,0,11,0.7850423729899465,0.5510744817323574,0.2585301146234287,0.6236363636363635
A1,Abilene.gml,500,0,0,12,0.8172036898527721,0.5467764804802536,0.2585220551246365,0.6336363636363637
A1,Abilene.gml,500,0,0,13,0.7933892861976907,0.49612324064159047,0.2585320671514262,0.5963636363636363
A1,Abilene.gml,500,0,0,14,0.8016614440505246,0.5283926521839025,0.258696393039728,0.6154545454545454
A1,Abilene.gml,500,0,0,15,0.81818826672596,0.5054372109867812,0.2586731750615791,0.610909090909091
A1,Abilene.gml,500,0,0,16,0.7684466435291725,0.4614955830496845,0.2588712125153673,0.5572727272727271
A1,Abilene.gml,500,0,0,17,0.8016221870550314,0.47519541756606376,0.2588817415532032,0.5818181818181818
A1,Abilene.gml,500,0,0,18,0.7768808102024306,0.4748803648009558,0.25891815771229043,0.5754545454545454
A1,Abilene.gml,500,0,0,19,0.7851624551767117,0.5201434429430868,0.25898811134722693,0.6036363636363636
A1,Abilene.gml,500,0,0,20,0.8016142747767276,0.4852868777424208,0.2590804387821406,0.588181818181818
A1,Abilene.gml,500,0,0,21,0.8017282812268977,0.5900760336755205,0.2592208377377363,0.6636363636363636
A1,Abilene.gml,500,0,0,22,0.8019596777616951,0.49958983766724696,0.25929129630998177,0.5954545454545455
A1,Abilene.gml,500,0,0,23,0.8346943289651595,0.5062299044142597,0.2593600509922745,0.6127272727272728
A1,Abilene.gml,500,0,0,24,0.8179991266125559,0.5011763314607397,0.25951176644319585,0.6118181818181818
A1,Abilene.gml,500,0,0,25,0.7853526017604988,0.5086279040229882,0.2598279917246556,0.6027272727272727
A1,Abilene.gml,500,0,0,26,0.752007119242935,0.5165113366006054,0.2600306195218519,0.5972727272727273
A1,Abilene.gml,500,0,0,27,0.8429519969343395,0.48965418616624184,0.2601256697291378,0.6063636363636363
A1,Abilene.gml,500,0,0,28,0.768640395672693,0.5517861096944044,0.2604853383096894,0.6327272727272727
A1,Abilene.gml,500,0,0,29,0.8016001325852191,0.5080136365457318,0.26087101945721397,0.6081818181818183
A1,Abilene.gml,500,0,0,30,0.8099331478346337,0.5058829590786077,0.26115278603497205,0.6081818181818183
A1,Abilene.gml,500,0,0,31,0.7765070270996283,0.479251523248899,0.26158255980214434,0.5745454545454546
A1,Abilene.gml,500,0,0,32,0.809912692590443,0.5269851041233018,0.26143042951445006,0.6254545454545454
A1,Abilene.gml,500,0,0,33,0.7851003114027392,0.4931249623151869,0.26188434768694085,0.5881818181818183
A1,Abilene.gml,500,0,0,34,0.809982375248614,0.46756328473161335,0.26215410382437243,0.5800000000000001
A1,Abilene.gml,500,0,0,35,0.7686904270488338,0.536696712343363,0.26251430798809616,0.6163636363636363
A1,Abilene.gml,500,0,0,36,0.8015739401025166,0.5113297281460044,0.26252875874133835,0.6136363636363636
A1,Abilene.gml,500,0,0,37,0.8081688903719673,0.5030677605645052,0.2628384920533546,0.6027272727272727
A1,Abilene.gml,500,0,0,38,0.8099559031830471,0.47075721382137187,0.2631937233508732,0.5854545454545454
A1,Abilene.gml,500,0,0,39,0.8016397228095894,0.49879435885790885,0.2637178595304039,0.6063636363636363
A1,Abilene.gml,500,0,0,40,0.8099676795204857,0.4689212527795361,0.2642683150822696,0.5836363636363636
A1,Abilene.gml,500,0,0,41,0.7850950934212073,0.4531997747429189,0.2648451424200884,0.5663636363636364
A1,Abilene.gml,500,0,0,42,0.7687230316051273,0.4779106103463839,0.2653199234754379,0.5809090909090909
A1,Abilene.gml,500,0,0,43,0.8018181505475959,0.48472644613602844,0.2658157547085772,0.5918181818181819
