arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A2,Abilene.gml,500,2,0,0,0.7603100284864638,0.6056595139135811,0.2642502062209266,0.6527272727272727
A2,Abilene.gml,500,2,0,1,0.743884469716643,0.5242173507256361,0.26408143592315075,0.5909090909090909
A2,Abilene.gml,500,2,0,2,0.7439130493464873,0.524157651669046,0.2639147894779259,0.5909090909090909
A2,Abilene.gml,500,2,0,3,0.7439712462828432,0.5239031355920309,0.26377455117629334,0.5909090909090909
A2,Abilene.gml,500,2,0,4,0.7441389631737472,0.5236138935901371,0.2636607043536086,0.5918181818181818
A2,Abilene.gml,500,2,0,5,0.7474653552766557,0.5232897816367967,0.2635732349860415,0.5927272727272727
A2,Abilene.gml,500,2,0,6,0.7598402738714642,0.5229306649637452,0.26351213168890975,0.5981818181818181
A2,Abilene.gml,500,2,0,7,0.7686410415024079,0.5836750237268774,0.2634773857152765,0.6436363636363637
A2,Abilene.gml,500,2,0,8,0.7592581192191923,0.5229369469136717,0.26337154793321466,0.5954545454545455
A2,Abilene.gml,500,2,0,9,0.7599975047048247,0.5225129291339673,0.26337842849589516,0.5972727272727274
A2,Abilene.gml,500,2,0,10,0.7603154428967216,0.6016509371885411,0.263411646213369,0.6518181818181819
A2,Abilene.gml,500,2,0,11,0.7602038754618544,0.5223892699927893,0.2634131733415085,0.5972727272727274
A2,Abilene.gml,500,2,0,12,0.7603443603631952,0.6014597050684692,0.26348991009332984,0.6518181818181819
A2,Abilene.gml,500,2,0,13,0.76023380885749,0.5221297868623781,0.2635349655331446,0.6000000000000001
A2,Abilene.gml,500,2,0,14,0.7602383495629389,0.5215359367119191,0.2636552335361834,0.5981818181818183
A2,Abilene.gml,500,2,0,15,0.7602415020236317,0.5209061750699903,0.26380185503577547,0.5981818181818183
A2,Abilene.gml,500,2,0,16,0.7602435780787767,0.5201796834020911,0.2639748420587212,0.5981818181818183
A2,Abilene.gml,500,2,0,17,0.760244770464645,0.5192742150004119,0.26417420926717045,0.5990909090909091
A2,Abilene.gml,500,2,0,18,0.7602451959527742,0.5183315781862358,0.2643999739598257,0.5981818181818183
A2,Abilene.gml,500,2,0,19,0.7602449182700494,0.5173518243796352,0.26465215607340753,0.5972727272727274
A2,Abilene.gml,500,2,0,20,0.7602439605459399,0.5163350193096731,0.2649307781843853,0.5963636363636365
A2,Abilene.gml,500,2,0,21,0.7602423108207635,0.5152812434342104,0.2652358655109705,0.5963636363636365
A2,Abilene.gml,500,2,0,22,0.7602399226134259,0.5141905920651673,0.2655674459153742,0.5963636363636365
A2,Abilene.gml,500,2,0,23,0.760236710989124,0.5130631754847386,0.2659255499063289,0.5963636363636365
A2,Abilene.gml,500,2,0,24,0.7602325434451888,0.5118991190521107,0.2663102106418752,0.5936363636363639
A2,Abilene.gml,500,2,0,25,0.787434730998442,0.5881638716681066,0.2667214639324121,0.6518181818181819
A2,Abilene.gml,500,2,0,26,0.7932568747524491,0.5877534266810475,0.26683245230595964,0.6527272727272727
A2,Abilene.gml,500,2,0,27,0.760277483657437,0.5096407153213576,0.2669701128259003,0.5945454545454547
A2,Abilene.gml,500,2,0,28,0.7602764079981298,0.5083499862128418,0.26743948692530634,0.5945454545454547
A2,Abilene.gml,500,2,0,29,0.7602750403079092,0.5070231189039226,0.26793555803599506,0.5936363636363637
A2,Abilene.gml,500,2,0,30,0.7602733472494605,0.5056603274305856,0.2684583730953763,0.5918181818181818
A2,Abilene.gml,500,2,0,31,0.7602525127428954,0.5047194206229516,0.2688458251420133,0.5918181818181818
A2,Abilene.gml,500,2,0,32,0.760213099576924,0.5037288331433817,0.2692601230259598,0.5918181818181818
A2,Abilene.gml,500,2,0,33,0.7770842791118795,0.5796072743046355,0.2697013054924205,0.6463636363636364
A2,Abilene.gml,500,2,0,34,0.7602192195523142,0.5012241961530169,0.26993140723231174,0.5909090909090909
A2,Abilene.gml,500,2,0,35,0.7602072341205186,0.49925600942396753,0.2705482137026532,0.5909090909090909
A2,Abilene.gml,500,2,0,36,0.7687969139388184,0.5594714637899378,0.2711920133137179,0.6336363636363637
A2,Abilene.gml,500,2,0,37,0.7602364125050257,0.4958492675795407,0.2715245907488204,0.59
A2,Abilene.gml,500,2,0,38,0.7602276077177443,0.49379055203584693,0.27221100826273276,0.5863636363636364
A2,Abilene.gml,500,2,0,39,0.7770716576092724,0.571337101244113,0.27275095685657735,0.6418181818181817
A2,Abilene.gml,500,2,0,40,0.7598684880357968,0.49049259096394077,0.2732596499708975,0.5845454545454547
A2,Abilene.gml,500,2,0,41,0.7446863552793755,0.48872429361941444,0.2738464252691865,0.5818181818181818
A2,Abilene.gml,500,2,0,42,0.7441175125328009,0.4869106405024857,0.2744605265324726,0.58
A2,Abilene.gml,500,2,0,43,0.7769139711294514,0.5642173550435092,0.2752445192115996,0.6372727272727272
A2,Abilene.gml,500,2,0,44,0.7930299061201787,0.5330591321545124,0.2756181425725768,0.6309090909090909
A2,Abilene.gml,500,2,0,45,0.7442055516708475,0.48133867464692864,0.2762837414637358,0.5763636363636363
A2,Abilene.gml,500,2,0,46,0.7444358381699737,0.47905167768815476,0.2771291547501881,0.5745454545454546
A2,Abilene.gml,500,2,0,47,0.76735010073359,0.47708047258689973,0.277840169522099,0.58
A2,Abilene.gml,500,2,0,48,0.7763995841782324,0.47506805820279285,0.2785788972094849,0.5818181818181819
A2,Abilene.gml,500,2,0,49,0.7766011728963291,0.47269796369007494,0.2793454089138232,0.5818181818181819
A2,Abilene.gml,500,2,1,0,0.7438658122773063,0.5276284300133894,0.2632392680411702,0.5945454545454546
A2,Abilene.gml,500,2,1,1,0.7438768800931286,0.5277774156094467,0.2630605518576293,0.5945454545454546
A2,Abilene.gml,500,2,1,2,0.7438944856454381,0.5275727279763553,0.2629081596008925,0.5936363636363636
A2,Abilene.gml,500,2,1,3,0.7603254810743973,0.6070968457389442,0.2627820733993415,0.6536363636363637
A2,Abilene.gml,500,2,1,4,0.7442514998812088,0.527909595360653,0.2626628942018509,0.5954545454545455
A2,Abilene.gml,500,2,1,5,0.7575224507381036,0.5276048779734106,0.2625802660867365,0.5981818181818181
A2,Abilene.gml,500,2,1,6,0.7599419343377799,0.527265031473616,0.26252390426104244,0.5990909090909091
A2,Abilene.gml,500,2,1,7,0.7601147634319596,0.5268899259602352,0.2624938004619569,0.600909090909091
A2,Abilene.gml,500,2,1,8,0.7601776497058588,0.5264794410200226,0.2624899490532976,0.6018181818181818
A2,Abilene.gml,500,2,1,9,0.7602101779285761,0.5260334659535955,0.2625123470246844,0.6027272727272727
A2,Abilene.gml,500,2,1,10,0.7603893446698877,0.6038785844386431,0.2625609939909765,0.6536363636363637
A2,Abilene.gml,500,2,1,11,0.7602510680415627,0.5259039642902203,0.26257093169664497,0.6018181818181818
A2,Abilene.gml,500,2,1,12,0.7602573006490203,0.5253548926419298,0.2626629571679129,0.6018181818181818
A2,Abilene.gml,500,2,1,13,0.7602620134049094,0.5247699121276969,0.26278123973235035,0.6018181818181818
A2,Abilene.gml,500,2,1,14,0.7602656188802766,0.5241489632035846,0.26292578859250465,0.6027272727272729
A2,Abilene.gml,500,2,1,15,0.7602683815172963,0.5234690486706672,0.2630966155766321,0.601818181818182
A2,Abilene.gml,500,2,1,16,0.7602704767630523,0.5225785874761875,0.2632937351396189,0.600909090909091
A2,Abilene.gml,500,2,1,17,0.7602720244120422,0.5216506389931156,0.2635171643641633,0.600909090909091
A2,Abilene.gml,500,2,1,18,0.7602731066055377,0.5206854641440434,0.2637669229622217,0.6000000000000001
A2,Abilene.gml,500,2,1,19,0.7602737794907944,0.5196831214977614,0.2640430332767165,0.6000000000000001
A2,Abilene.gml,500,2,1,20,0.7602740801539111,0.5186436841649773,0.26434552028350755,0.5990909090909091
A2,Abilene.gml,500,2,1,21,0.7602740308541314,0.5175672399294485,0.2646744115936262,0.5981818181818183
A2,Abilene.gml,500,2,1,22,0.8094201767113894,0.5928078824275924,0.2650297374557733,0.6636363636363636
A2,Abilene.gml,500,2,1,23,0.7602671096131133,0.5159532581201218,0.2652548956099612,0.5981818181818183
A2,Abilene.gml,500,2,1,24,0.7943904305315946,0.5913825232951321,0.2656539578440162,0.6572727272727273
A2,Abilene.gml,500,2,1,25,0.7602827337951331,0.5142630293195585,0.26576813877194994,0.5972727272727274
A2,Abilene.gml,500,2,1,26,0.7602819252661813,0.5130111146382457,0.2662095108986567,0.5972727272727274
A2,Abilene.gml,500,2,1,27,0.7602808874335075,0.5117228349430298,0.2666774598392406,0.5945454545454547
A2,Abilene.gml,500,2,1,28,0.7602796037513394,0.5103983822990051,0.26717202973091453,0.5945454545454547
A2,Abilene.gml,500,2,1,29,0.7602780513476909,0.5090379642521377,0.26769326736857235,0.5936363636363637
A2,Abilene.gml,500,2,1,30,0.7931388882593342,0.5836289350954961,0.2682412222092032,0.6536363636363637
A2,Abilene.gml,500,2,1,31,0.7602933953072374,0.5067182495639028,0.2684612599227186,0.5936363636363637
A2,Abilene.gml,500,2,1,32,0.7602930420815927,0.504808019111048,0.26905189726693934,0.5918181818181818
A2,Abilene.gml,500,2,1,33,0.7688238098619046,0.5640070776465728,0.2694748982277691,0.6354545454545454
A2,Abilene.gml,500,2,1,34,0.7602933918125792,0.5020312995515472,0.2697736164383127,0.5918181818181818
A2,Abilene.gml,500,2,1,35,0.7602774304991876,0.5004997150934052,0.2702373810303254,0.5909090909090909
A2,Abilene.gml,500,2,1,36,0.7928438250709021,0.5763194529530286,0.2709048764055466,0.649090909090909
A2,Abilene.gml,500,2,1,37,0.7603015877628022,0.49716599342837314,0.2712157823649061,0.5909090909090909
