arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A3b,Abilene.gml,500,1,0,0,0.7438161345979645,0.4685304780035272,0.2601261384646253,0.5490909090909091
A3b,Abilene.gml,500,1,0,1,0.8093883969759574,0.6528478068901533,0.25979464785948103,0.6981818181818182
A3b,Abilene.gml,500,1,0,2,0.8098369896392916,0.6608919972592084,0.25947578351728595,0.7027272727272728
A3b,Abilene.gml,500,1,0,3,0.7604827450370236,0.43349760165964374,0.2592561385586911,0.5318181818181819
A3b,Abilene.gml,500,1,0,4,0.8262654039915085,0.6395672226982044,0.25896011144635683,0.6945454545454546
A3b,Abilene.gml,500,1,0,5,0.8427957642215044,0.6258211247710856,0.2586943859335458,0.6918181818181819
A3b,Abilene.gml,500,1,0,6,0.8659117082477708,0.7597505036589606,0.2584545564318796,0.7927272727272728
A3b,Abilene.gml,500,1,0,7,0.8098286790944766,0.6714326027685191,0.2582132094834334,0.7154545454545455
A3b,Abilene.gml,500,1,0,8,0.8097215212906271,0.5707708719259842,0.2580744719328098,0.6454545454545454
A3b,Abilene.gml,500,1,0,9,0.8183652630745109,0.6232408930485196,0.25789435812122424,0.6827272727272727
A3b,Abilene.gml,500,1,0,10,0.8345133804737686,0.6303417928760373,0.25767996775256913,0.6945454545454545
A3b,Abilene.gml,500,1,0,11,0.818285111306401,0.625567029113557,0.2575220790789486,0.6845454545454545
A3b,Abilene.gml,500,1,0,12,0.809062378476323,0.5138876707919086,0.25735013101119575,0.6072727272727273
A3b,Abilene.gml,500,1,0,13,0.8758939483519989,0.721809852876057,0.2572832467734749,0.770909090909091
A3b,Abilene.gml,500,1,0,14,0.8343563064030548,0.509313445504882,0.2571836543886916,0.6090909090909092
A3b,Abilene.gml,500,1,0,15,0.818225807743368,0.6280199231838138,0.25710798193801054,0.6881818181818182
A3b,Abilene.gml,500,1,0,16,0.8344591443712667,0.6657305488543913,0.2569914304690449,0.72
A3b,Abilene.gml,500,1,0,17,0.8427772360135496,0.6354680856421434,0.25687443123332376,0.7054545454545453
A3b,Abilene.gml,500,1,0,18,0.8344986861726202,0.6696051328297637,0.2568494346775639,0.7254545454545455
A3b,Abilene.gml,500,1,0,19,0.7851939733861866,0.677335819900451,0.25677503870422586,0.7127272727272728
A3b,Abilene.gml,500,1,0,20,0.7768334080042583,0.4906091374399215,0.2567163120990366,0.5809090909090909
A3b,Abilene.gml,500,1,0,21,0.7851895278096678,0.6808467484926405,0.2566687482165186,0.7163636363636363
A3b,Abilene.gml,500,1,0,22,0.7787804448324667,0.5635607162304112,0.256643517625193,0.6318181818181817
A3b,Abilene.gml,500,1,0,23,0.8015485381363046,0.6943380387784787,0.2565050808202139,0.7345454545454545
A3b,Abilene.gml,500,1,0,24,0.8262208717654662,0.5375029737033422,0.25659017145774055,0.6272727272727271
A3b,Abilene.gml,500,1,0,25,0.809992724404147,0.6267435479092133,0.25642749337871346,0.6909090909090909
A3b,Abilene.gml,500,1,0,26,0.7935444773272109,0.6013959676725638,0.25651718027405374,0.6681818181818182
A3b,Abilene.gml,500,1,0,27,0.8018916058371052,0.5491345915335921,0.25644985713947155,0.6318181818181817
A3b,Abilene.gml,500,1,0,28,0.8427734516679571,0.6426060312553455,0.256352805333619,0.7127272727272728
A3b,Abilene.gml,500,1,0,29,0.7439054668942418,0.6043401648934263,0.25648329898419203,0.6572727272727272
A3b,Abilene.gml,500,1,0,30,0.8184162938247357,0.789140720548957,0.25663544791664405,0.8018181818181819
A3b,Abilene.gml,500,1,0,31,0.8758881834690602,0.7373491994780256,0.2566207810257549,0.7872727272727272
A3b,Abilene.gml,500,1,0,32,0.7932682537630871,0.43668652402433283,0.25680873197401494,0.5545454545454546
A3b,Abilene.gml,500,1,0,33,0.8758817823792048,0.7380452645209615,0.25700870617121363,0.7881818181818182
A3b,Abilene.gml,500,1,0,34,0.7521431206052566,0.6056048893979761,0.25723834044430416,0.6627272727272727
A3b,Abilene.gml,500,1,0,35,0.8096697767675856,0.7101952694056111,0.25748003812273074,0.7527272727272728
A3b,Abilene.gml,500,1,0,36,0.8261671478575443,0.6925118864143841,0.2577312395957173,0.740909090909091
A3b,Abilene.gml,500,1,0,37,0.8428901397159588,0.5036733731305245,0.25760199458518246,0.6145454545454546
A3b,Abilene.gml,500,1,0,38,0.8758726592702956,0.7412443067999207,0.257649751030565,0.7927272727272728
A3b,Abilene.gml,500,1,0,39,0.8098773489740232,0.5504508145231527,0.25795344652758706,0.6336363636363637
A3b,Abilene.gml,500,1,0,40,0.8102113151777955,0.7609520143038608,0.2579997530467556,0.7836363636363637
A3b,Abilene.gml,500,1,0,41,0.7851693646427005,0.6849980815733544,0.2581953257988766,0.7227272727272728
A3b,Abilene.gml,500,1,0,42,0.7521359864688834,0.6007528311116417,0.2584320003337645,0.6590909090909091
A3b,Abilene.gml,500,1,0,43,0.7850569375703752,0.41901099157272925,0.25877874218945174,0.5409090909090909
A3b,Abilene.gml,500,1,0,44,0.8207639183939708,0.7614009357931244,0.2588284266897812,0.7881818181818182
A3b,Abilene.gml,500,1,0,45,0.7851663256233191,0.6838303083719386,0.25906413740541934,0.7236363636363637
A3b,Abilene.gml,500,1,0,46,0.8091271681377343,0.7172946213288948,0.2593603649889133,0.7618181818181818
A3b,Abilene.gml,500,1,0,47,0.8512268876216644,0.7377469072307423,0.2597482314678336,0.7818181818181817
A3b,Abilene.gml,500,1,0,48,0.7521178549981475,0.5393538756282871,0.2598293692812042,0.620909090909091
A3b,Abilene.gml,500,1,0,49,0.8017061127240567,0.8053917384061777,0.2601381086854404,0.8145454545454545
A3b,Abilene.gml,500,1,1,0,0.8593928650700442,0.6450968615424155,0.25827489990015107,0.7072727272727274
A3b,Abilene.gml,500,1,1,1,0.8095689071053037,0.6583444958756302,0.25794858394366027,0.7018181818181818
A3b,Abilene.gml,500,1,1,2,0.8428228322649381,0.6249603699272259,0.2576480954771594,0.6881818181818181
