arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A4,Abilene.gml,500,2,0,0,0.7603100284864638,0.6056595139135811,0.2642502062209266,1.2963636363636364
A4,Abilene.gml,500,2,0,1,0.743884469716643,0.5242173507256361,0.26408143592315075,0.5245454545454545
A4,Abilene.gml,500,2,0,2,0.7438554910817715,0.5247451405096678,0.2638836382291577,0.5863636363636364
A4,Abilene.gml,500,2,0,3,0.7438685050047348,0.5245306886550704,0.26373236276647527,0.5845454545454546
A4,Abilene.gml,500,2,0,4,0.7438902165952775,0.5242816720506467,0.2636074756676157,0.5863636363636364
A4,Abilene.gml,500,2,0,5,0.7439302645547177,0.5239979333329993,0.2635089618050329,0.5863636363636364
A4,Abilene.gml,500,2,0,6,0.744022557608988,0.5236793241155543,0.2634368086900168,0.5872727272727273
A4,Abilene.gml,500,2,0,7,0.7444263171702686,0.5233257052208872,0.2633910064711812,0.5863636363636364
A4,Abilene.gml,500,2,0,8,0.7592581192191922,0.5229369469136717,0.26337154793321466,0.5963636363636363
A4,Abilene.gml,500,2,0,9,0.7599975047048247,0.5225129291339672,0.26337842849589516,0.5927272727272728
A4,Abilene.gml,500,2,0,10,0.7603154428967216,0.601650937188541,0.26341164621336904,0.6972727272727274
A4,Abilene.gml,500,2,0,11,0.7602038754618544,0.5223892699927893,0.2634131733415085,0.5390909090909092
A4,Abilene.gml,500,2,0,12,0.7602607297723337,0.6023797066911059,0.2633703244563363,0.7000000000000001
A4,Abilene.gml,500,2,0,13,0.7602009935307358,0.5230957210224899,0.2634042879941796,0.5381818181818182
A4,Abilene.gml,500,2,0,14,0.7601582074174448,0.5235283791853452,0.2633938784582533,0.5945454545454546
A4,Abilene.gml,500,2,0,15,0.7601779910558538,0.5229812055651215,0.26351829223677503,0.5936363636363636
A4,Abilene.gml,500,2,0,16,0.7601898458703089,0.5223981052245054,0.2636690454031426,0.5945454545454546
A4,Abilene.gml,500,2,0,17,0.7601970114809685,0.5217790102027763,0.2638461503987339,0.5945454545454546
A4,Abilene.gml,500,2,0,18,0.7602010346180529,0.5211238639305193,0.2640496222988654,0.5945454545454546
A4,Abilene.gml,500,2,0,19,0.7602027048835898,0.5204326214624101,0.26427947881403696,0.5945454545454546
A4,Abilene.gml,500,2,0,20,0.7602024196708523,0.5196787855353541,0.2645357402914382,0.5927272727272728
A4,Abilene.gml,500,2,0,21,0.7602003376578143,0.5187105827449198,0.2648184297167209,0.5909090909090909
A4,Abilene.gml,500,2,0,22,0.7601964417510587,0.5177049296450392,0.2651275727160328,0.5918181818181818
A4,Abilene.gml,500,2,0,23,0.7601905523957335,0.516662024170821,0.26546319755831643,0.5918181818181818
A4,Abilene.gml,500,2,0,24,0.7601823028608181,0.5155819561337227,0.2658253351578716,0.5909090909090909
A4,Abilene.gml,500,2,0,25,0.7934316082002706,0.591571023649409,0.26621401907718256,0.7118181818181818
A4,Abilene.gml,500,2,0,26,0.7924224635219835,0.5914111417546557,0.2664700587138324,0.6518181818181817
A4,Abilene.gml,500,2,0,27,0.7599962984563049,0.5132650286980975,0.26675271975238984,0.5281818181818183
A4,Abilene.gml,500,2,0,28,0.7598958748792589,0.5120347013922784,0.2672027256247023,0.5890909090909091
A4,Abilene.gml,500,2,0,29,0.7596954663000157,0.5107678582421683,0.2676794067689899,0.5890909090909091
A4,Abilene.gml,500,2,0,30,0.7591124229379799,0.50946468186788,0.26818280818584006,0.5881818181818183
A4,Abilene.gml,500,2,0,31,0.7531777496978176,0.5081253705054523,0.26871297754336704,0.5845454545454546
A4,Abilene.gml,500,2,0,32,0.744158185208655,0.5071651493023125,0.2691371397675741,0.58
A4,Abilene.gml,500,2,0,33,0.7769258524283107,0.583216749480001,0.2695881732895356,0.6990909090909091
A4,Abilene.gml,500,2,0,34,0.7440244243474166,0.5058564587468158,0.26966511604277543,0.5236363636363636
A4,Abilene.gml,500,2,0,35,0.7440029666303043,0.5042056366490729,0.2702622423540219,0.5809090909090909
A4,Abilene.gml,500,2,0,36,0.7687245939161496,0.5649744201416786,0.27077301308142193,0.6790909090909091
A4,Abilene.gml,500,2,0,37,0.7439852162042151,0.5012452953136606,0.27107091609459694,0.5318181818181817
A4,Abilene.gml,500,2,0,38,0.7439627517307182,0.49900876410882905,0.27156527551071036,0.5781818181818182
A4,Abilene.gml,500,2,0,39,0.7768986178958304,0.5756526665164983,0.2722395009660784,0.6963636363636364
A4,Abilene.gml,500,2,0,40,0.7440172941437119,0.49566915092691183,0.27250999458244357,0.52
A4,Abilene.gml,500,2,0,41,0.7440189161408454,0.49357733125594483,0.27322720690552965,0.5754545454545454
A4,Abilene.gml,500,2,0,42,0.7440115781374383,0.49179544964776983,0.27383891121336135,0.5754545454545454
A4,Abilene.gml,500,2,0,43,0.7440499232247952,0.4899681262152223,0.2744779382418836,0.5754545454545454
A4,Abilene.gml,500,2,0,44,0.7607572915917651,0.524762352503436,0.27514434916152725,0.6436363636363637
A4,Abilene.gml,500,2,0,45,0.7452006256767774,0.48618017762037785,0.275838207874995,0.5372727272727272
A4,Abilene.gml,500,2,0,46,0.7755279357808971,0.4845757919844185,0.2761689158525168,0.5890909090909091
A4,Abilene.gml,500,2,0,47,0.7765009260979863,0.4823123768354947,0.2770022823086936,0.5809090909090909
A4,Abilene.gml,500,2,0,48,0.7766387870050515,0.48031962680087675,0.2777500115372662,0.5772727272727273
A4,Abilene.gml,500,2,0,49,0.7766775907625326,0.47866068590103217,0.278220977777226,0.5781818181818182
A4,Abilene.gml,500,2,1,0,0.7438658122773063,0.5276284300133894,0.2632392680411702,1.180909090909091
A4,Abilene.gml,500,2,1,1,0.7438768800931286,0.5277774156094467,0.2630605518576293,0.5881818181818183
A4,Abilene.gml,500,2,1,2,0.7438944856454381,0.5275727279763553,0.2629081596008925,0.589090909090909
A4,Abilene.gml,500,2,1,3,0.7603254810743973,0.6070968457389442,0.2627820733993415,0.7063636363636364
A4,Abilene.gml,500,2,1,4,0.7442514998812088,0.527909595360653,0.2626628942018509,0.53
A4,Abilene.gml,500,2,1,5,0.7575224507381036,0.5276048779734106,0.2625802660867365,0.5981818181818181
A4,Abilene.gml,500,2,1,6,0.7599419343377799,0.527265031473616,0.26252390426104244,0.5954545454545455
A4,Abilene.gml,500,2,1,7,0.7601147634319596,0.5268899259602352,0.2624938004619569,0.5945454545454546
A4,Abilene.gml,500,2,1,8,0.7601776497058588,0.5264794410200226,0.2624899490532976,0.5945454545454546
A4,Abilene.gml,500,2,1,9,0.7602101779285761,0.5260334659535955,0.2625123470246844,0.5936363636363636
A4,Abilene.gml,500,2,1,10,0.7603893446698877,0.6038785844386431,0.2625609939909765,0.6990909090909091
A4,Abilene.gml,500,2,1,11,0.7602510680415627,0.5259039642902203,0.26257093169664497,0.5436363636363637
