arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A5,Abilene.gml,500,1,0,0,0.8344944167076064,0.4689324365239617,0.2601261384646253,1.1454545454545455
A5,Abilene.gml,500,1,0,1,0.776978447728835,0.4387818030931952,0.2598097440977877,0.4972727272727273
A5,Abilene.gml,500,1,0,2,0.8263000092175549,0.3876708683195838,0.2595839234021764,0.4918181818181818
A5,Abilene.gml,500,1,0,3,0.8257876370369989,0.295253544399792,0.2592899352398555,0.3836363636363636
A5,Abilene.gml,500,1,0,4,0.8172085496510373,0.3932017999970013,0.25898341241146333,0.58
A5,Abilene.gml,500,1,0,5,0.8352536073033782,0.38530938614339333,0.2587020421010557,0.5145454545454545
A5,Abilene.gml,500,1,0,6,0.8842880078186289,0.41084806249922645,0.2584369821619585,0.58
A5,Abilene.gml,500,1,0,7,0.7862932698715405,0.44857527300218153,0.2582095762260134,0.5418181818181819
A5,Abilene.gml,500,1,0,8,0.8011356305572233,0.45023368272780395,0.2579495591177615,0.5572727272727274
A5,Abilene.gml,500,1,0,9,0.8017022577124305,0.32494083963762505,0.25774756882840383,0.3727272727272728
A5,Abilene.gml,500,1,0,10,0.8095582268725074,0.36652921720536186,0.2575121207790847,0.5281818181818182
A5,Abilene.gml,500,1,0,11,0.8840806935034482,0.5046186713385494,0.25729422992963463,0.730909090909091
A5,Abilene.gml,500,1,0,12,0.8504829159572185,0.4316012284439472,0.25702652941697357,0.4945454545454545
A5,Abilene.gml,500,1,0,13,0.8019455508381715,0.4637453454565499,0.25691552528347256,0.5672727272727274
A5,Abilene.gml,500,1,0,14,0.8010866489832824,0.43941181249528277,0.2567312477020865,0.5281818181818182
A5,Abilene.gml,500,1,0,15,0.7681862383615314,0.3342453022495398,0.2565658772913759,0.37636363636363634
A5,Abilene.gml,500,1,0,16,0.7929339463233163,0.5618341786423557,0.2563734604364436,0.7936363636363637
A5,Abilene.gml,500,1,0,17,0.8086963671801436,0.42177270531804223,0.25616190364749736,0.4436363636363636
A5,Abilene.gml,500,1,0,18,0.785141639545699,0.4559799505923309,0.25601130148517026,0.5727272727272728
A5,Abilene.gml,500,1,0,19,0.8673069080823788,0.5263241502457946,0.2559694287677666,0.6972727272727273
A5,Abilene.gml,500,1,0,20,0.7522507481020841,0.37589365799002583,0.25585551435483034,0.34454545454545454
A5,Abilene.gml,500,1,0,21,0.875819835311809,0.4863322764669396,0.25572055405264354,0.7154545454545456
A5,Abilene.gml,500,1,0,22,0.8255991538523798,0.3448957852799092,0.25554608068940793,0.36727272727272725
A5,Abilene.gml,500,1,0,23,0.8014160790778917,0.45593840376618916,0.2552027917184531,0.6345454545454545
A5,Abilene.gml,500,1,0,24,0.8509224564851717,0.39215675378347786,0.2550855234925277,0.49272727272727274
A5,Abilene.gml,500,1,0,25,0.8011592178529804,0.4890739176118016,0.254853425552614,0.6372727272727272
A5,Abilene.gml,500,1,0,26,0.7767838466583045,0.3570995837644198,0.25465519227536454,0.3818181818181818
A5,Abilene.gml,500,1,0,27,0.7700775469658517,0.27703800136351786,0.25444340994097003,0.3590909090909091
A5,Abilene.gml,500,1,0,28,0.858901022533784,0.4634094251408692,0.2542517716269368,0.739090909090909
A5,Abilene.gml,500,1,0,29,0.7767471296201617,0.4576511556657224,0.25414389565390877,0.5263636363636364
A5,Abilene.gml,500,1,0,30,0.8923059834123109,0.4651436366838306,0.2540616830045681,0.6309090909090909
A5,Abilene.gml,500,1,0,31,0.8515639577312922,0.4983388059028436,0.25399277796087866,0.610909090909091
A5,Abilene.gml,500,1,0,32,0.7851240476164243,0.37277155738292256,0.25381088248672506,0.38181818181818183
A5,Abilene.gml,500,1,0,33,0.8427812020729836,0.4830060641653613,0.2536404477818848,0.69
A5,Abilene.gml,500,1,0,34,0.7838778311269219,0.36797735561349004,0.25360658654776697,0.3890909090909091
A5,Abilene.gml,500,1,0,35,0.7689477363405963,0.4973842415850316,0.2534487790060656,0.6636363636363637
A5,Abilene.gml,500,1,0,36,0.8594684880786965,0.37881785082772407,0.25324402544094565,0.4727272727272727
A5,Abilene.gml,500,1,0,37,0.8260109638501979,0.3958120519116664,0.25318849894880235,0.5163636363636364
A5,Abilene.gml,500,1,0,38,0.8186666160230636,0.49793156074077755,0.25300997326808283,0.6636363636363636
A5,Abilene.gml,500,1,0,39,0.8009739066775915,0.5022991030048938,0.25287427351713815,0.5909090909090908
A5,Abilene.gml,500,1,0,40,0.8589127515750851,0.5188153062846527,0.2527998148325184,0.65
A5,Abilene.gml,500,1,0,41,0.8001474802444103,0.43816111820420994,0.25284967384194396,0.47454545454545455
A5,Abilene.gml,500,1,0,42,0.7851578361378827,0.33986447126024716,0.25262176921679763,0.3936363636363636
A5,Abilene.gml,500,1,0,43,0.7689522565491856,0.42505129574657463,0.2525106869425922,0.5909090909090909
A5,Abilene.gml,500,1,0,44,0.8674198364422174,0.5199156187837427,0.2525549588132416,0.7227272727272728
A5,Abilene.gml,500,1,0,45,0.8675408272300333,0.5367731634418729,0.25250783708368574,0.6509090909090909
A5,Abilene.gml,500,1,0,46,0.793530775126224,0.4690663352564439,0.2526197335882505,0.5018181818181818
A5,Abilene.gml,500,1,0,47,0.8675921168221209,0.41946033700004437,0.2525315847845879,0.5418181818181819
A5,Abilene.gml,500,1,0,48,0.7580604483794154,0.4261428101822137,0.25258839789021814,0.5027272727272727
A5,Abilene.gml,500,1,0,49,0.8427520377550244,0.5470332560256167,0.25266590673976536,0.7481818181818182
A5,Abilene.gml,500,1,1,0,0.8512460814870717,0.383397961751508,0.25827489990015107,1.038181818181818
A5,Abilene.gml,500,1,1,1,0.8428189234084147,0.5015415881878477,0.2579552578098737,0.6745454545454546
A5,Abilene.gml,500,1,1,2,0.8507186273189569,0.36175873754343496,0.2576406080595,0.4063636363636363
A5,Abilene.gml,500,1,1,3,0.8758369645070423,0.4345520595046223,0.2573454136677948,0.6181818181818183
A5,Abilene.gml,500,1,1,4,0.7844729947641261,0.37727312412263797,0.25712449068254456,0.4263636363636364
A5,Abilene.gml,500,1,1,5,0.8667643474592626,0.4436213686885546,0.25683404658925624,0.6327272727272728
A5,Abilene.gml,500,1,1,6,0.8592337609851622,0.39962717211466664,0.2565818573577249,0.4981818181818181
A5,Abilene.gml,500,1,1,7,0.8264422622714285,0.40184449973685954,0.25631207097552144,0.5127272727272728
A5,Abilene.gml,500,1,1,8,0.7590813935086195,0.33383127105198523,0.2560169165660603,0.39
A5,Abilene.gml,500,1,1,9,0.8346520631588376,0.45428871818868455,0.25581328493919214,0.6699999999999999
A5,Abilene.gml,500,1,1,10,0.8344794527902465,0.46649667281117485,0.2556499526557876,0.5772727272727273
A5,Abilene.gml,500,1,1,11,0.7781021707196231,0.44849362896756356,0.2553637750926651,0.5154545454545455
A5,Abilene.gml,500,1,1,12,0.801533607898698,0.44038626680925197,0.2551835310944974,0.5445454545454546
A5,Abilene.gml,500,1,1,13,0.8099127660393087,0.35053132122154057,0.25498391753055927,0.4218181818181818
A5,Abilene.gml,500,1,1,14,0.8595301356317528,0.5998039284616868,0.25470944657182365,0.8618181818181818
A5,Abilene.gml,500,1,1,15,0.8509822915802974,0.36699322524346384,0.25454358625134244,0.34545454545454546
A5,Abilene.gml,500,1,1,16,0.8840168196686864,0.4961257987485271,0.25435126752810355,0.709090909090909
A5,Abilene.gml,500,1,1,17,0.7570014969865068,0.3407046943362169,0.2541295541098239,0.3136363636363636
A5,Abilene.gml,500,1,1,18,0.8594631604298013,0.40678916231682716,0.25393442635951613,0.6145454545454547
A5,Abilene.gml,500,1,1,19,0.7526639931150352,0.27055124676127007,0.25381717616042904,0.2818181818181818
A5,Abilene.gml,500,1,1,20,0.825713612821912,0.4618393998586212,0.25354458632209675,0.7263636363636364
A5,Abilene.gml,500,1,1,21,0.8510569754688806,0.36946952939888594,0.2533225020300151,0.4563636363636363
A5,Abilene.gml,500,1,1,22,0.8745176230905959,0.4881975204999643,0.25315319900707994,0.6909090909090909
A5,Abilene.gml,500,1,1,23,0.8016786180451496,0.40172955577469216,0.2530547694628544,0.4363636363636363
A5,Abilene.gml,500,1,1,24,0.8834883074314512,0.5229314226828055,0.2529081515050868,0.7372727272727274
A5,Abilene.gml,500,1,1,25,0.8346582064059652,0.48159781982154826,0.25283184138813347,0.5445454545454546
A5,Abilene.gml,500,1,1,26,0.7356384791939977,0.31609696250875774,0.2526782243883356,0.29
A5,Abilene.gml,500,1,1,27,0.80998526087139,0.48731396814534,0.2525502461747981,0.7281818181818182
A5,Abilene.gml,500,1,1,28,0.8345433550213261,0.4463598718711441,0.25244632150606,0.5363636363636364
A5,Abilene.gml,500,1,1,29,0.8098383987924461,0.43370603222835624,0.2523504822880637,0.5327272727272727
A5,Abilene.gml,500,1,1,30,0.8675756295879048,0.5225066720887008,0.252299794529852,0.7009090909090908
A5,Abilene.gml,500,1,1,31,0.7706696756644343,0.4348894423237439,0.25229294616052367,0.4454545454545455
A5,Abilene.gml,500,1,1,32,0.7931305150028094,0.3483204972234486,0.25214256786338635,0.4200000000000001
A5,Abilene.gml,500,1,1,33,0.8345731402310643,0.4863015257973578,0.251900040699918,0.7
A5,Abilene.gml,500,1,1,34,0.8104343905128073,0.4832509428530193,0.25189601806407863,0.5736363636363637
A5,Abilene.gml,500,1,1,35,0.8757903897072974,0.3758511346268818,0.2517728255340627,0.47181818181818175
A5,Abilene.gml,500,1,1,36,0.809855434099751,0.4346127931690974,0.2518597183385281,0.5709090909090908
A5,Abilene.gml,500,1,1,37,0.7857171647778736,0.31019949012237175,0.2517545402017405,0.3509090909090909
A5,Abilene.gml,500,1,1,38,0.8016114429987318,0.47108109889492644,0.25140838363545104,0.6954545454545454
A5,Abilene.gml,500,1,1,39,0.81817481136942,0.5248303225940468,0.25153250381609654,0.6545454545454547
A5,Abilene.gml,500,1,1,40,0.867335808189349,0.4276630857663969,0.2514683550642092,0.5118181818181818
A5,Abilene.gml,500,1,1,41,0.7772797995926769,0.42472867787692264,0.2514982161788086,0.5036363636363637
A5,Abilene.gml,500,1,1,42,0.8840956107080775,0.39912612553984417,0.2515776969751147,0.5581818181818182
A5,Abilene.gml,500,1,1,43,0.8675922208691648,0.3958393980872054,0.2514739016172212,0.5236363636363636
A5,Abilene.gml,500,1,1,44,0.8008226105260152,0.41019541577827356,0.2514645739800176,0.5245454545454546
A5,Abilene.gml,500,1,1,45,0.8180663725607878,0.34066175692409756,0.25128450998530105,0.4327272727272726
A5,Abilene.gml,500,1,1,46,0.851010803214173,0.5003314029710064,0.2511238295478035,0.7236363636363636
A5,Abilene.gml,500,1,1,47,0.834650720071133,0.22811562231049007,0.25094993825870765,0.21272727272727276
A5,Abilene.gml,500,1,1,48,0.8432475278419997,0.4586773063604028,0.2508110349841956,0.7454545454545454
A5,Abilene.gml,500,1,1,49,0.7934895414557293,0.4326534438450241,0.25078353138903425,0.5136363636363636
A5,Abilene.gml,500,1,2,0,0.8376181018021129,0.4735004136470988,0.2585255234267303,1.1536363636363638
A5,Abilene.gml,500,1,2,1,0.8347517991889646,0.39539254129878326,0.25818717965526583,0.4663636363636364
A5,Abilene.gml,500,1,2,2,0.8180594173280923,0.5220011697240243,0.25797576250740667,0.6881818181818182
A5,Abilene.gml,500,1,2,3,0.8016136081799122,0.38671888943199323,0.2577773107972749,0.4036363636363637
A5,Abilene.gml,500,1,2,4,0.867539255742738,0.4819706166938474,0.2574403147466359,0.6790909090909092
A5,Abilene.gml,500,1,2,5,0.7684833699460936,0.37601333305456014,0.25715192598286374,0.3845454545454545
A5,Abilene.gml,500,1,2,6,0.8432595231859441,0.5373274339384425,0.2568344895849291,0.7581818181818182
A5,Abilene.gml,500,1,2,7,0.8508915580536811,0.36744863927039934,0.25662558943224817,0.39
A5,Abilene.gml,500,1,2,8,0.8759131391595454,0.4167485328824322,0.25632887880806926,0.589090909090909
A5,Abilene.gml,500,1,2,9,0.8015410809913721,0.45787431583808846,0.2560457700871565,0.5663636363636364
A5,Abilene.gml,500,1,2,10,0.8346704232879794,0.4579720470102538,0.2559223158454494,0.5745454545454546
A5,Abilene.gml,500,1,2,11,0.8595935344098322,0.41724472741414426,0.2557765139332553,0.520909090909091
A5,Abilene.gml,500,1,2,12,0.818875313986662,0.4989503387364792,0.25553118075992143,0.6336363636363636
A5,Abilene.gml,500,1,2,13,0.809896352734605,0.42925230399497427,0.2552729416273979,0.48636363636363633
A5,Abilene.gml,500,1,2,14,0.851309648066037,0.4310991823763805,0.2549915943901436,0.5618181818181819
A5,Abilene.gml,500,1,2,15,0.8175137000467714,0.4540976060772145,0.25470096883606164,0.5672727272727273
A5,Abilene.gml,500,1,2,16,0.8509769673573825,0.32029167613089116,0.25447814917478134,0.39454545454545453
A5,Abilene.gml,500,1,2,17,0.8009444838753244,0.3640682282633411,0.2542473887456026,0.4990909090909091
A5,Abilene.gml,500,1,2,18,0.8016743783677653,0.40231552234949175,0.25399706860117466,0.5509090909090909
A5,Abilene.gml,500,1,2,19,0.8430527819770468,0.45692288131135594,0.25381187005639977,0.62
A5,Abilene.gml,500,1,2,20,0.8595752530794595,0.45201246086875135,0.25363231799919533,0.5745454545454547
A5,Abilene.gml,500,1,2,21,0.8346883662854999,0.4886136936923476,0.2535000579030353,0.6081818181818182
A5,Abilene.gml,500,1,2,22,0.8097157791166393,0.5399362072194366,0.2533415967352346,0.6490909090909092
A5,Abilene.gml,500,1,2,23,0.8018829338143024,0.4281348644924769,0.2532084855732241,0.45909090909090905
A5,Abilene.gml,500,1,2,24,0.8427541156969713,0.48594012781956564,0.2530779406692225,0.6418181818181817
A5,Abilene.gml,500,1,2,25,0.8015410940447747,0.45920747370901066,0.2528783758250348,0.530909090909091
A5,Abilene.gml,500,1,2,26,0.8676287530464656,0.4603202316257536,0.2528292125416627,0.600909090909091
A5,Abilene.gml,500,1,2,27,0.8264633854063469,0.4713667678300697,0.2526437831125817,0.5781818181818182
A5,Abilene.gml,500,1,2,28,0.8428420505466644,0.39949144624990574,0.252620955875712,0.4854545454545454
A5,Abilene.gml,500,1,2,29,0.7934541502430874,0.4608830107346544,0.2524629527716313,0.5890909090909091
A5,Abilene.gml,500,1,2,30,0.7932341186716744,0.42787614924283995,0.25238638486578135,0.5181818181818181
A5,Abilene.gml,500,1,2,31,0.8345691244469685,0.49428178350034935,0.2523891792836865,0.6554545454545454
A5,Abilene.gml,500,1,2,32,0.8087516030778665,0.4645139135990867,0.2522496979807381,0.5445454545454544
A5,Abilene.gml,500,1,2,33,0.7770707232770089,0.45157746010509087,0.25227524574469967,0.53
A5,Abilene.gml,500,1,2,34,0.8261974411273119,0.38227629703066196,0.25214786424486707,0.48727272727272725
A5,Abilene.gml,500,1,2,35,0.8265054044852093,0.494896186284263,0.25209900822464076,0.6727272727272727
A5,Abilene.gml,500,1,2,36,0.8182750308335549,0.49123099115612506,0.2519708560011915,0.5827272727272729
A5,Abilene.gml,500,1,2,37,0.777041856564033,0.40434400520096414,0.2518701009775804,0.4309090909090909
A5,Abilene.gml,500,1,2,38,0.8428591600067016,0.38394507487286217,0.2516240400457277,0.5418181818181819
A5,Abilene.gml,500,1,2,39,0.7851133429436974,0.4137003468105098,0.25159514999284516,0.5154545454545455
A5,Abilene.gml,500,1,2,40,0.8343897065354209,0.48947554867126614,0.2512729807770892,0.670909090909091
A5,Abilene.gml,500,1,2,41,0.8231281203600816,0.4975908477536893,0.25122131217581894,0.5990909090909091
A5,Abilene.gml,500,1,2,42,0.8318441281098249,0.4894989931807654,0.2511419725570223,0.5927272727272727
A5,Abilene.gml,500,1,2,43,0.8180709593955402,0.29930077711045966,0.2511675463975773,0.3054545454545455
A5,Abilene.gml,500,1,2,44,0.7937108665420869,0.4508204848822363,0.2510382138838585,0.6427272727272727
A5,Abilene.gml,500,1,2,45,0.8592062555924784,0.46852052782656217,0.2508305232028947,0.6372727272727272
A5,Abilene.gml,500,1,2,46,0.8098267663841959,0.470019133670864,0.25080969287231825,0.5645454545454546
A5,Abilene.gml,500,1,2,47,0.8099890678530163,0.4759785188482994,0.2509183034631985,0.579090909090909
A5,Abilene.gml,500,1,2,48,0.8428595018206319,0.36573263864868916,0.2508618329674605,0.4509090909090909
A5,Abilene.gml,500,1,2,49,0.8344761059473457,0.45162757078114807,0.2509735938809705,0.6281818181818182
A5,Abilene.gml,500,1,3,0,0.799899183819121,0.41287827948684763,0.2584076316542119,1.049090909090909
A5,Abilene.gml,500,1,3,1,0.8595013634834899,0.5327920441541916,0.25817608289355554,0.7236363636363635
A5,Abilene.gml,500,1,3,2,0.8179342616157776,0.3931308518486554,0.2578440483351084,0.4009090909090908
A5,Abilene.gml,500,1,3,3,0.8096589785183007,0.4199507966085693,0.25752599307578516,0.5472727272727272
A5,Abilene.gml,500,1,3,4,0.8181147463284827,0.47036703553119374,0.2572122314913561,0.6072727272727273
A5,Abilene.gml,500,1,3,5,0.8149285491143495,0.4149427130135646,0.2570207274710713,0.4890909090909092
A5,Abilene.gml,500,1,3,6,0.8013710998961957,0.42440966306633604,0.2567168835274808,0.5336363636363636
A5,Abilene.gml,500,1,3,7,0.8004620517323274,0.44664488504083216,0.256410275386217,0.5636363636363636
A5,Abilene.gml,500,1,3,8,0.8016058919727882,0.39487276244524255,0.25615885090195806,0.47454545454545455
A5,Abilene.gml,500,1,3,9,0.892131627348283,0.367423137518782,0.25589994854794323,0.5254545454545454
A5,Abilene.gml,500,1,3,10,0.8429098722997529,0.5099011607787896,0.25565933607348207,0.69
A5,Abilene.gml,500,1,3,11,0.8341935375190935,0.3831778151749221,0.25550834830079827,0.4272727272727273
A5,Abilene.gml,500,1,3,12,0.8591872446184522,0.5080742656463259,0.2553602319071381,0.7009090909090909
A5,Abilene.gml,500,1,3,13,0.8428862885765891,0.3624711408448285,0.25516749007376915,0.39909090909090905
A5,Abilene.gml,500,1,3,14,0.8097185794149001,0.443853944346284,0.2549910207033783,0.5954545454545455
A5,Abilene.gml,500,1,3,15,0.8429431622429128,0.48033180100521666,0.2548223918544805,0.62
A5,Abilene.gml,500,1,3,16,0.8096715111503912,0.42593086031771193,0.2545903847282252,0.4945454545454545
A5,Abilene.gml,500,1,3,17,0.793509398943132,0.47744273851556046,0.2544690650598061,0.6000000000000001
A5,Abilene.gml,500,1,3,18,0.7769039895966988,0.35835689058585346,0.2542859713096701,0.3836363636363637
A5,Abilene.gml,500,1,3,19,0.8593039047784532,0.3734359360204145,0.25394874773106896,0.5581818181818181
A5,Abilene.gml,500,1,3,20,0.8676182948702528,0.4421540367435186,0.25379197013999505,0.6163636363636363
A5,Abilene.gml,500,1,3,21,0.8593035943685382,0.625196005858581,0.2536090926373816,0.8163636363636364
A5,Abilene.gml,500,1,3,22,0.7521671443234287,0.39930473793196586,0.25341228474874206,0.3181818181818182
A5,Abilene.gml,500,1,3,23,0.8509235925983514,0.48028007177545295,0.25327621596373945,0.6763636363636363
A5,Abilene.gml,500,1,3,24,0.8182687264176337,0.478287195233653,0.2531923661405412,0.5645454545454546
A5,Abilene.gml,500,1,3,25,0.8346486970251188,0.4636264978520408,0.25291551064435486,0.5745454545454546
A5,Abilene.gml,500,1,3,26,0.8015735574164116,0.34230753301710776,0.25288147400055244,0.37636363636363634
A5,Abilene.gml,500,1,3,27,0.8098739937829685,0.5453758851337063,0.2526904089088346,0.7645454545454545
A5,Abilene.gml,500,1,3,28,0.8346157076055036,0.3947093592142034,0.2524973122615722,0.4354545454545455
A5,Abilene.gml,500,1,3,29,0.7933755944377497,0.4131632471729771,0.2524520393949628,0.5290909090909092
