arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A5,Abilene.gml,500,2,0,0,0.7603100284864638,0.6056595139135811,0.2642502062209266,1.2963636363636364
A5,Abilene.gml,500,2,0,1,0.743884469716643,0.5242173507256361,0.26408143592315075,0.5245454545454545
A5,Abilene.gml,500,2,0,2,0.7438554910817715,0.5247451405096678,0.2638836382291577,0.5863636363636364
A5,Abilene.gml,500,2,0,3,0.7438685050047348,0.5245306886550704,0.26373236276647527,0.5845454545454546
A5,Abilene.gml,500,2,0,4,0.7438902165952775,0.5242816720506467,0.2636074756676157,0.5863636363636364
A5,Abilene.gml,500,2,0,5,0.7439302645547177,0.5239979333329993,0.2635089618050329,0.5863636363636364
A5,Abilene.gml,500,2,0,6,0.744022557608988,0.5236793241155543,0.2634368086900168,0.5872727272727273
A5,Abilene.gml,500,2,0,7,0.7686420069632175,0.5850394632354442,0.2633910064711812,0.69
A5,Abilene.gml,500,2,0,8,0.743958776447975,0.5237449901805795,0.2632962324666216,0.5363636363636364
A5,Abilene.gml,500,2,0,9,0.7578805951555858,0.5233658292279862,0.26332444752765444,0.5954545454545455
A5,Abilene.gml,500,2,0,10,0.7602918249428389,0.6024682071436843,0.2632455029184468,0.6990909090909091
A5,Abilene.gml,500,2,0,11,0.7598884980993836,0.5232093610826155,0.26322452033539817,0.5390909090909092
A5,Abilene.gml,500,2,0,12,0.7602291875965598,0.6032122239350923,0.26318195779184034,0.7018181818181818
A5,Abilene.gml,500,2,0,13,0.7600386592178558,0.5239333126355181,0.2631933913341415,0.54
A5,Abilene.gml,500,2,0,14,0.7587495257213274,0.5243609602782608,0.26318324335187193,0.5936363636363636
A5,Abilene.gml,500,2,0,15,0.7599351690867668,0.5238760100541223,0.2632754605116902,0.5945454545454546
A5,Abilene.gml,500,2,0,16,0.7600746278062988,0.5233552615285147,0.2633939959958438,0.5954545454545455
A5,Abilene.gml,500,2,0,17,0.7601269483153618,0.5227986237483586,0.2635388590260485,0.5945454545454546
A5,Abilene.gml,500,2,0,18,0.7601529385754747,0.5222060168576884,0.2637100614558528,0.5945454545454546
A5,Abilene.gml,500,2,0,19,0.7601671670653474,0.5215773723422705,0.2639076177715597,0.5945454545454546
A5,Abilene.gml,500,2,0,20,0.7601748452658434,0.5209126332715219,0.26413154509341213,0.5945454545454547
A5,Abilene.gml,500,2,0,21,0.7601782203988912,0.5202117545372535,0.2643818631770418,0.5936363636363636
A5,Abilene.gml,500,2,0,22,0.7601783211562324,0.5194747030887392,0.2646585944151808,0.5936363636363636
A5,Abilene.gml,500,2,0,23,0.7601755618050068,0.518645954654377,0.2649617638396375,0.5927272727272727
A5,Abilene.gml,500,2,0,24,0.7601699625004484,0.5176293067598586,0.26529139912353566,0.5918181818181818
A5,Abilene.gml,500,2,0,25,0.793433697695935,0.5934819705862174,0.26564753058381785,0.7127272727272728
A5,Abilene.gml,500,2,0,26,0.793295089846669,0.5933676193734851,0.2658817215199634,0.6527272727272726
A5,Abilene.gml,500,2,0,27,0.759998642647949,0.5154631781682899,0.2661424772091674,0.5290909090909092
A5,Abilene.gml,500,2,0,28,0.7599144122375844,0.5142951135900914,0.26655997581360613,0.5890909090909091
A5,Abilene.gml,500,2,0,29,0.7597599154877116,0.513090092259731,0.2670040886657658,0.5890909090909091
A5,Abilene.gml,500,2,0,30,0.7593939588571071,0.511848270934377,0.2674748575155069,0.5890909090909091
A5,Abilene.gml,500,2,0,31,0.7575753798867197,0.5105698220475529,0.2679723267741146,0.5890909090909091
A5,Abilene.gml,500,2,0,32,0.7464673035511157,0.5092549337764967,0.2684965435184737,0.5827272727272729
A5,Abilene.gml,500,2,0,33,0.7769534073832709,0.5850993988560382,0.26893307928460775,0.7000000000000001
A5,Abilene.gml,500,2,0,34,0.7474286506300206,0.5076489399463344,0.2691153568703789,0.5254545454545455
A5,Abilene.gml,500,2,0,35,0.7441346238009223,0.506602670522642,0.2695845880601709,0.5827272727272729
A5,Abilene.gml,500,2,0,36,0.7687006357998863,0.5682969186774006,0.2700807307856499,0.6827272727272727
A5,Abilene.gml,500,2,0,37,0.7439664089509168,0.5060478949569457,0.27039934205277977,0.5336363636363636
A5,Abilene.gml,500,2,0,38,0.7439525485026532,0.5038075392305249,0.27087813162063745,0.5818181818181818
A5,Abilene.gml,500,2,0,39,0.7768994221367613,0.579373557210854,0.2715289479032474,0.6972727272727273
A5,Abilene.gml,500,2,0,40,0.7440000183166698,0.5005958819449745,0.2717759636324653,0.520909090909091
A5,Abilene.gml,500,2,0,41,0.7440111743515806,0.4985723604895801,0.27246962701309796,0.5790909090909091
A5,Abilene.gml,500,2,0,42,0.7440217089806207,0.49684131205154786,0.27306621419604216,0.5772727272727273
A5,Abilene.gml,500,2,0,43,0.7768843537312322,0.574322908290423,0.27369004834168753,0.6954545454545454
A5,Abilene.gml,500,2,0,44,0.7605774409683281,0.5304186880684445,0.2737460749923403,0.589090909090909
A5,Abilene.gml,500,2,0,45,0.7443419998057558,0.49236559255773304,0.27440575645614657,0.5409090909090909
A5,Abilene.gml,500,2,0,46,0.7459259982489285,0.49080639871451576,0.27470214735658977,0.5763636363636364
A5,Abilene.gml,500,2,0,47,0.77624403510655,0.48889737252448384,0.27539750925416834,0.5909090909090909
A5,Abilene.gml,500,2,0,48,0.7765931738236739,0.4866722637024891,0.2762141757200489,0.5818181818181818
A5,Abilene.gml,500,2,0,49,0.7766796104805603,0.4846940083994054,0.2769548480549006,0.5818181818181818
A5,Abilene.gml,500,2,1,0,0.7438658122773063,0.5276284300133894,0.2632392680411702,1.180909090909091
A5,Abilene.gml,500,2,1,1,0.7438768800931286,0.5277774156094467,0.2630605518576293,0.5881818181818183
A5,Abilene.gml,500,2,1,2,0.7438944856454381,0.5275727279763553,0.2629081596008925,0.589090909090909
A5,Abilene.gml,500,2,1,3,0.7603254810743973,0.6070968457389442,0.2627820733993415,0.7063636363636364
A5,Abilene.gml,500,2,1,4,0.7442514998812088,0.527909595360653,0.2626628942018509,0.53
A5,Abilene.gml,500,2,1,5,0.7575224507381036,0.5276048779734106,0.2625802660867365,0.5981818181818181
A5,Abilene.gml,500,2,1,6,0.7599419343377799,0.527265031473616,0.26252390426104244,0.5954545454545455
A5,Abilene.gml,500,2,1,7,0.7601147634319596,0.5268899259602352,0.2624938004619569,0.5945454545454546
A5,Abilene.gml,500,2,1,8,0.7601776497058588,0.5264794410200226,0.2624899490532976,0.5945454545454546
A5,Abilene.gml,500,2,1,9,0.7602101779285761,0.5260334659535955,0.2625123470246844,0.5936363636363636
A5,Abilene.gml,500,2,1,10,0.7603893446698877,0.6038785844386431,0.2625609939909765,0.6990909090909091
A5,Abilene.gml,500,2,1,11,0.7602510680415627,0.5259039642902203,0.26257093169664497,0.5436363636363637
A5,Abilene.gml,500,2,1,12,0.7602315613998827,0.5262984338600025,0.26253733559781195,0.5972727272727274
A5,Abilene.gml,500,2,1,13,0.7602413574013205,0.5257545668140452,0.26264472357273705,0.5963636363636365
A5,Abilene.gml,500,2,1,14,0.7602483921122567,0.5251747604777588,0.2627783652812219,0.5963636363636365
A5,Abilene.gml,500,2,1,15,0.7602535580455873,0.5245589507999748,0.26293827146206405,0.5954545454545456
A5,Abilene.gml,500,2,1,16,0.7602573805817954,0.5239070848388082,0.2631244554794344,0.5954545454545456
A5,Abilene.gml,500,2,1,17,0.7602601864481947,0.5232117246901807,0.26333693332395086,0.5936363636363636
A5,Abilene.gml,500,2,1,18,0.7602621858290817,0.5222946548016758,0.2635757236140153,0.5936363636363636
A5,Abilene.gml,500,2,1,19,0.7602635170522969,0.5213349571196386,0.2638408475974122,0.5936363636363636
