arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
A6,Abilene.gml,500,2,0,0,0.7858668981509666,0.5682464517296311,0.2642502062209266,1.2536363636363634
A6,Abilene.gml,500,2,0,1,0.8924041050586243,0.7897040905760683,0.2638721739903732,1.0081818181818183
A6,Abilene.gml,500,2,0,2,0.9006615456547671,0.8230631817309891,0.26378322000912907,0.8572727272727273
A6,Abilene.gml,500,2,0,3,0.859423471103096,0.7984966042671137,0.26341865488966754,0.7827272727272728
A6,Abilene.gml,500,2,0,4,0.868054895959276,0.8980197086368746,0.263352369661492,0.9536363636363635
A6,Abilene.gml,500,2,0,5,0.8429182206463324,0.8493219426528675,0.2630107349881963,0.8045454545454546
A6,Abilene.gml,500,2,0,6,0.8178223228157879,0.744489045653483,0.2629670303173715,0.6781818181818181
A6,Abilene.gml,500,2,0,7,0.851290208557263,0.888565491160012,0.26285343055553195,0.9836363636363636
A6,Abilene.gml,500,2,0,8,0.8512917403083978,0.8905525123100987,0.2626756067917299,0.8754545454545455
A6,Abilene.gml,500,2,0,9,0.8679652519845379,0.9032631534206554,0.2625700532213504,0.8972727272727273
A6,Abilene.gml,500,2,0,10,0.8513002267705109,0.8962035498434472,0.26234249192523396,0.87
A6,Abilene.gml,500,2,0,11,0.8513075192892553,0.8995925923245468,0.2622295314159126,0.8836363636363637
A6,Abilene.gml,500,2,0,12,0.8348077222504099,0.8679468493600143,0.2621516261584571,0.829090909090909
A6,Abilene.gml,500,2,0,13,0.8513377361436941,0.9027962950129674,0.2620802538521768,0.910909090909091
A6,Abilene.gml,500,2,0,14,0.8595876370499108,0.8398728076981452,0.2620161500446101,0.8018181818181819
A6,Abilene.gml,500,2,0,15,0.8513962508825581,0.9067906989313531,0.26207834229083243,0.9309090909090909
A6,Abilene.gml,500,2,0,16,0.8842932222649288,0.8873046660386232,0.261888624640446,0.879090909090909
A6,Abilene.gml,500,2,0,17,0.793468085684279,0.8454413621411473,0.2618808299583184,0.7645454545454544
A6,Abilene.gml,500,2,0,18,0.8515425859410819,0.9110107785058617,0.2617672934314707,0.9545454545454546
A6,Abilene.gml,500,2,0,19,0.8348210604010095,0.884717458794006,0.2617833952752609,0.8454545454545456
A6,Abilene.gml,500,2,0,20,0.8342746126129889,0.8168322503367346,0.2618061865937932,0.7745454545454545
A6,Abilene.gml,500,2,0,21,0.8016163936791844,0.7901645770663598,0.261855156251853,0.7545454545454546
A6,Abilene.gml,500,2,0,22,0.8840212005646262,0.9139532879628761,0.2618148820652151,1.0136363636363637
A6,Abilene.gml,500,2,0,23,0.9007707143315344,0.8578470241362641,0.2618333391579139,0.8263636363636363
A6,Abilene.gml,500,2,0,24,0.8430441352983713,0.8038578971287532,0.26171567814456115,0.7581818181818182
A6,Abilene.gml,500,2,0,25,0.8181966656292894,0.8247831652353684,0.26162420046512425,0.8272727272727274
A6,Abilene.gml,500,2,0,26,0.8844910506371527,0.8572597813634644,0.2616413178557735,0.9054545454545454
A6,Abilene.gml,500,2,0,27,0.8430533732881105,0.8038475872003764,0.2614800410306297,0.7609090909090909
A6,Abilene.gml,500,2,0,28,0.8430830343945243,0.764681768969997,0.26140854804229025,0.7563636363636363
A6,Abilene.gml,500,2,0,29,0.8842509036790175,0.9087065956375763,0.2612848728377852,1.0063636363636363
A6,Abilene.gml,500,2,0,30,0.9007792650381142,0.8599125916356166,0.2609059747660581,0.8354545454545456
A6,Abilene.gml,500,2,0,31,0.8595147739207569,0.8324708243233974,0.2607339446087544,0.8136363636363636
A6,Abilene.gml,500,2,0,32,0.8594415007794113,0.898589431496859,0.2609447894175522,0.929090909090909
A6,Abilene.gml,500,2,0,33,0.8593711230445341,0.9012682146836416,0.26083705722938516,0.8863636363636364
A6,Abilene.gml,500,2,0,34,0.8593822475655604,0.9043784222370893,0.26098279020070847,0.890909090909091
A6,Abilene.gml,500,2,0,35,0.8923737410845657,0.9237448754034492,0.26110949599701816,0.9327272727272727
A6,Abilene.gml,500,2,0,36,0.8098357410960471,0.8701484941268413,0.2611283989808757,0.7809090909090909
A6,Abilene.gml,500,2,0,37,0.8430892603172538,0.816910610537927,0.2611518728531224,0.7963636363636364
A6,Abilene.gml,500,2,0,38,0.8431026275414953,0.7765822528121862,0.26118263629950067,0.7672727272727272
A6,Abilene.gml,500,2,0,39,0.8594561029137181,0.9123509079726237,0.2611082739172566,0.9954545454545453
A6,Abilene.gml,500,2,0,40,0.8923891015725285,0.9280865616392163,0.2609078738031683,0.9336363636363636
A6,Abilene.gml,500,2,0,41,0.8516077676005289,0.9142311774160192,0.260813200926197,0.8736363636363635
A6,Abilene.gml,500,2,0,42,0.9007860759736764,0.8764140712031253,0.260980822703975,0.8627272727272728
A6,Abilene.gml,500,2,0,43,0.9171376247912882,0.8745013614433542,0.2609071586117365,0.8900000000000001
A6,Abilene.gml,500,2,0,44,0.8924596015701257,0.9306101671257725,0.2612031545589671,0.9481818181818181
A6,Abilene.gml,500,2,0,45,0.8924059596630353,0.9335353888701324,0.2611932768224716,0.9190909090909091
A6,Abilene.gml,500,2,0,46,0.8594087802830398,0.9236905852792584,0.2613056322639651,0.8863636363636366
A6,Abilene.gml,500,2,0,47,0.9091135159573303,0.8437373790720699,0.26144410703314075,0.8163636363636364
A6,Abilene.gml,500,2,0,48,0.9007824152888948,0.8845684215370927,0.26129926275268905,0.910909090909091
A6,Abilene.gml,500,2,0,49,0.8263635011961733,0.7900305401391045,0.26146504492540024,0.7172727272727273
A6,Abilene.gml,500,2,1,0,0.7848994715001371,0.6947058230507595,0.2632392680411702,1.4354545454545453
A6,Abilene.gml,500,2,1,1,0.7934211937932532,0.8224083668802027,0.26305429925107393,0.8990909090909092
A6,Abilene.gml,500,2,1,2,0.8429738059097189,0.8495587526249889,0.2627870600525901,0.879090909090909
A6,Abilene.gml,500,2,1,3,0.8512791077921417,0.8933541168143375,0.2626224465681606,0.9072727272727273
A6,Abilene.gml,500,2,1,4,0.8512842236781185,0.8954072142216173,0.26246367947890586,0.8763636363636365
A6,Abilene.gml,500,2,1,5,0.851287538760932,0.898278548201244,0.26222799559337245,0.881818181818182
A6,Abilene.gml,500,2,1,6,0.8350674811899979,0.8612055479011972,0.262100514150259,0.8181818181818182
A6,Abilene.gml,500,2,1,7,0.7934356972485113,0.8359171116047079,0.2619805328152477,0.7854545454545455
A6,Abilene.gml,500,2,1,8,0.8513037161562441,0.9029357620274713,0.26185942532995016,0.9490909090909091
A6,Abilene.gml,500,2,1,9,0.8180015006364386,0.7617710684234151,0.2617708952537956,0.6618181818181817
A6,Abilene.gml,500,2,1,10,0.8513274379731843,0.9042232633236366,0.26165002201329535,0.9963636363636365
A6,Abilene.gml,500,2,1,11,0.8513380307747161,0.9063639986240548,0.2615104197963008,0.8872727272727274
A6,Abilene.gml,500,2,1,12,0.8513778242580655,0.9082456442003142,0.2614605764160902,0.8881818181818183
A6,Abilene.gml,500,2,1,13,0.9007495019928811,0.8533967451984327,0.26143688407785937,0.8327272727272728
A6,Abilene.gml,500,2,1,14,0.851435374163726,0.9108112127647737,0.2611170211460052,0.9181818181818183
A6,Abilene.gml,500,2,1,15,0.8515010712066158,0.9127977981884143,0.2610790718631447,0.8918181818181818
A6,Abilene.gml,500,2,1,16,0.8016314602766544,0.7876528357486208,0.26108443089600697,0.6827272727272727
A6,Abilene.gml,500,2,1,17,0.7935018732894336,0.8534473829189735,0.2610275007296314,0.8745454545454545
A6,Abilene.gml,500,2,1,18,0.8838451330525416,0.9171272614825008,0.26101216012016815,0.9754545454545455
A6,Abilene.gml,500,2,1,19,0.8838478212701223,0.9188744905387939,0.2609279601389204,0.9063636363636364
A6,Abilene.gml,500,2,1,20,0.9007647837383981,0.8640591749175015,0.2609174691094009,0.8318181818181819
A6,Abilene.gml,500,2,1,21,0.8348518787157083,0.8929524011958597,0.26078293910766315,0.8781818181818182
A6,Abilene.gml,500,2,1,22,0.8601031679684223,0.8572374595750692,0.2609079298586768,0.8381818181818183
A6,Abilene.gml,500,2,1,23,0.8004607264730089,0.8630322421902512,0.260959566349197,0.8227272727272728
A6,Abilene.gml,500,2,1,24,0.900770792873857,0.8686449510835264,0.2609557909760914,0.9063636363636364
A6,Abilene.gml,500,2,1,25,0.900772271150993,0.8695351903766926,0.2606987526248453,0.8718181818181818
A6,Abilene.gml,500,2,1,26,0.8509196490759933,0.9004769294862534,0.2606166709568662,0.8936363636363637
A6,Abilene.gml,500,2,1,27,0.8842153494305357,0.9231292828497217,0.26079395153674273,0.9318181818181817
A6,Abilene.gml,500,2,1,28,0.8511789251415951,0.903504086057053,0.2606810163574467,0.8627272727272728
A6,Abilene.gml,500,2,1,29,0.9007778606894074,0.8720292869134653,0.26074166739248145,0.8636363636363636
A6,Abilene.gml,500,2,1,30,0.8842811787658761,0.9248429762640888,0.26049925519390016,0.9445454545454546
A6,Abilene.gml,500,2,1,31,0.8430495617513428,0.8189267972822569,0.26062810144442033,0.7372727272727272
A6,Abilene.gml,500,2,1,32,0.8917251996787791,0.9259213404463021,0.26060455271199223,1.0036363636363637
A6,Abilene.gml,500,2,1,33,0.8348511716939476,0.8371634353804344,0.26061839663475456,0.7618181818181818
A6,Abilene.gml,500,2,1,34,0.8595053940335323,0.8461647537218128,0.26085981313588974,0.8627272727272728
A6,Abilene.gml,500,2,1,35,0.8590076198914901,0.9135606325559862,0.26080598870953703,0.939090909090909
A6,Abilene.gml,500,2,1,36,0.8594987675822785,0.8503267392909932,0.2607739382585439,0.8109090909090909
A6,Abilene.gml,500,2,1,37,0.8512293221583108,0.6824231017690698,0.26086033147894466,0.6063636363636363
A6,Abilene.gml,500,2,1,38,0.9007786214346128,0.8801762790104765,0.26065987909532246,1.032727272727273
A6,Abilene.gml,500,2,1,39,0.8591865206215961,0.9164658432614782,0.26040158043671985,0.9127272727272725
A6,Abilene.gml,500,2,1,40,0.8016368674133054,0.8160891555190243,0.26058850612561263,0.7227272727272728
A6,Abilene.gml,500,2,1,41,0.8924270758587053,0.9321950352460171,0.2607195595950595,1.0245454545454544
A6,Abilene.gml,500,2,1,42,0.9171354624701489,0.8781830044260291,0.26077664766746483,0.8563636363636363
A6,Abilene.gml,500,2,1,43,0.9007810739334883,0.8779719760278631,0.26109445001021797,0.8718181818181818
A6,Abilene.gml,500,2,1,44,0.9007803681404252,0.8777925819759986,0.2611391527276458,0.88
A6,Abilene.gml,500,2,1,45,0.8431012221733113,0.826164433402247,0.2610838719233604,0.78
A6,Abilene.gml,500,2,1,46,0.8924778930200447,0.9338850426085498,0.26117087914479414,1.0063636363636363
A6,Abilene.gml,500,2,1,47,0.8594975082543391,0.9249840357837886,0.26122871036125833,0.8881818181818182
A6,Abilene.gml,500,2,1,48,0.8924732467290398,0.9374987434397117,0.26133065667798355,0.94
A6,Abilene.gml,500,2,1,49,0.8924466271840146,0.9400746542316825,0.26148212596594117,0.9245454545454543
A6,Abilene.gml,500,2,2,0,0.8925989560182083,0.8136796306130673,0.26349515001114066,1.6636363636363638
A6,Abilene.gml,500,2,2,1,0.8257814652452513,0.7710903411478361,0.263139537350188,0.7372727272727272
A6,Abilene.gml,500,2,2,2,0.8262339591451732,0.7467672951953163,0.26305263253845385,0.7445454545454545
A6,Abilene.gml,500,2,2,3,0.8512737842457331,0.8917183052470263,0.26289286147723545,0.9863636363636363
A6,Abilene.gml,500,2,2,4,0.8512774068056927,0.8950712518959388,0.26272226258598086,0.880909090909091
A6,Abilene.gml,500,2,2,5,0.8512827929543287,0.8969987449217505,0.26254834795955945,0.8809090909090912
A6,Abilene.gml,500,2,2,6,0.8512855433246641,0.8998753009522499,0.26232739017221635,0.881818181818182
A6,Abilene.gml,500,2,2,7,0.8512928884197547,0.9018023810667504,0.2621961198205779,0.8827272727272729
A6,Abilene.gml,500,2,2,8,0.8918508922019502,0.8115438886871413,0.2620910822079566,0.7809090909090909
A6,Abilene.gml,500,2,2,9,0.8513107598767952,0.9044569530715431,0.2620767929369267,0.9363636363636364
A6,Abilene.gml,500,2,2,10,0.8841258029995505,0.8163593072139207,0.2618900745658403,0.7818181818181817
A6,Abilene.gml,500,2,2,11,0.867745897554185,0.7401768436252923,0.261864418357643,0.7081818181818181
A6,Abilene.gml,500,2,2,12,0.8180759912098495,0.7656393885397272,0.2616089466880048,0.7809090909090909
A6,Abilene.gml,500,2,2,13,0.8016315196601261,0.780298746393031,0.2616092612163886,0.7863636363636364
A6,Abilene.gml,500,2,2,14,0.8513413666604106,0.9084023924697853,0.26155614655303333,0.9936363636363637
A6,Abilene.gml,500,2,2,15,0.8348530983642077,0.8794748101613394,0.2614892662222018,0.838181818181818
A6,Abilene.gml,500,2,2,16,0.8514088722676315,0.9124449873034123,0.2614586070079961,0.9181818181818183
A6,Abilene.gml,500,2,2,17,0.851519482566032,0.9156556655680926,0.261424124229113,0.8945454545454545
A6,Abilene.gml,500,2,2,18,0.9007606644967606,0.8598991754879446,0.2614401881375251,0.8354545454545454
A6,Abilene.gml,500,2,2,19,0.8519401751570205,0.9182777762975775,0.2611225508315171,0.9245454545454543
A6,Abilene.gml,500,2,2,20,0.856229929355175,0.9202999072388942,0.26109516274324585,0.8981818181818183
A6,Abilene.gml,500,2,2,21,0.8348413303048833,0.8942247337233923,0.26113992474959635,0.8509090909090908
A6,Abilene.gml,500,2,2,22,0.8840306902766263,0.9230681833211659,0.26117824889218516,0.9418181818181819
A6,Abilene.gml,500,2,2,23,0.8599132034412537,0.8625156805660744,0.2610452056979681,0.8109090909090909
