arm,topo,rate,seed,episode,step,rd,rp,th,r_mean
pretrain,CERNET.gml,500,1,0,0,0.9333704426009946,0.17914114421182006,0.26700429848111573,0.8051219512195121
pretrain,CERNET.gml,500,1,0,1,0.9375286899554375,0.18461160237772506,0.2668563929329137,0.41073170731707326
pretrain,CERNET.gml,500,1,0,2,0.936323500350878,0.16665216940195146,0.2667759763545098,0.3807317073170732
pretrain,CERNET.gml,500,1,0,3,0.9327596836058579,0.16340543221047202,0.2666207142972403,0.38609756097560977
pretrain,CERNET.gml,500,1,0,4,0.934566582489568,0.18446168878506822,0.2665896323832101,0.4217073170731707
pretrain,CERNET.gml,500,1,0,5,0.9357503123410659,0.20006447250391324,0.26651883523812775,0.42804878048780487
pretrain,CERNET.gml,500,1,0,6,0.9331629026340383,0.21320949588437113,0.2664580492931298,0.4309756097560976
pretrain,CERNET.gml,500,1,0,7,0.9369072638083463,0.1799346071886567,0.2663813151634051,0.38048780487804884
pretrain,CERNET.gml,500,1,0,8,0.9339631313856566,0.20197030584257716,0.2662644335367406,0.43341463414634146
pretrain,CERNET.gml,500,1,0,9,0.9321746904811659,0.1881202870914418,0.266262306047021,0.39560975609756105
pretrain,CERNET.gml,500,1,0,10,0.9375204549844981,0.17203015750134623,0.26621268113551483,0.38878048780487806
pretrain,CERNET.gml,500,1,0,11,0.9321794261735304,0.20548507291067963,0.26612434160113463,0.44048780487804884
pretrain,CERNET.gml,500,1,0,12,0.9369602814834668,0.1874742876300776,0.2661432990100103,0.3990243902439024
pretrain,CERNET.gml,500,1,0,13,0.9351850435407707,0.19972005748799457,0.26613759104331985,0.4226829268292682
pretrain,CERNET.gml,500,1,0,14,0.9304112417580145,0.17011761759668168,0.26612051023815375,0.3748780487804878
pretrain,CERNET.gml,500,1,0,15,0.9333873371960222,0.19195383808210137,0.2661392804330508,0.42902439024390243
pretrain,CERNET.gml,500,1,0,16,0.9375674195020025,0.19380153530857053,0.2661464063692412,0.41853658536585364
pretrain,CERNET.gml,500,1,0,17,0.9381311302769431,0.22771573796007194,0.2662080979749417,0.46195121951219514
pretrain,CERNET.gml,500,1,0,18,0.9310067430350674,0.18041542399540067,0.26622932384377,0.37170731707317073
pretrain,CERNET.gml,500,1,0,19,0.9345531258049811,0.19473843856253972,0.2663330681539057,0.4224390243902439
pretrain,CERNET.gml,500,1,0,20,0.9345357337812705,0.17249649835430322,0.2663035125797277,0.385609756097561
pretrain,CERNET.gml,500,1,0,21,0.935163453217356,0.19970953607519729,0.2663225113724164,0.43707317073170737
pretrain,CERNET.gml,500,1,0,22,0.9345612229957792,0.1593843873459942,0.2663967381283774,0.3609756097560976
pretrain,CERNET.gml,500,1,0,23,0.9363225893460008,0.1787600686422787,0.2664641101288855,0.42
pretrain,CERNET.gml,500,1,0,24,0.9357423541210002,0.1879128800975902,0.26658326232797314,0.4121951219512195
pretrain,CERNET.gml,500,1,0,25,0.9309920926996073,0.14551653662651848,0.26664456010333626,0.3524390243902439
pretrain,CERNET.gml,500,1,0,26,0.9345471028989573,0.14514658299605035,0.2668067164696321,0.37999999999999995
pretrain,CERNET.gml,500,1,0,27,0.9321880682558806,0.15800828723619806,0.26686704157759217,0.3973170731707318
pretrain,CERNET.gml,500,1,0,28,0.9363431379257189,0.20313981936706302,0.2669799881823332,0.4592682926829268
pretrain,CERNET.gml,500,1,0,29,0.9351508285548682,0.16967113424858551,0.2671588864471894,0.3736585365853659
pretrain,CERNET.gml,500,1,0,30,0.9339717422846795,0.17022638052924333,0.26720828653768314,0.3960975609756097
